concept_id,activation_rate,mean_abs,energy_share
4029,1.0,2.7539482,0.103891745
2473,0.99983317,1.7276411,0.06517466
21,1.0,1.5998621,0.060354244
3129,1.0,0.9158675,0.034550786
830,0.99866533,0.88011986,0.033202216
3499,0.998999,0.67805487,0.025579385
2368,0.9834835,0.6292725,0.023739088
3610,0.99382716,0.6146808,0.02318862
1196,0.982983,0.5695816,0.02148727
3655,0.980981,0.564663,0.021301717
838,0.9906573,0.496062,0.018713769
2046,0.92909575,0.4052925,0.01528952
2383,0.9521188,0.38788927,0.014632989
2762,0.9189189,0.37734887,0.014235356
1210,0.99165833,0.35512584,0.013397
2902,0.9891558,0.34725994,0.013100261
1925,0.8543544,0.33895943,0.012787127
2876,0.9706373,0.3276927,0.012362094
1806,0.95879215,0.31270072,0.011796527
1187,0.8825492,0.29849157,0.011260491
3111,0.99566233,0.28738406,0.010841465
1308,0.9701368,0.2853125,0.0107633155
2053,0.94711375,0.2762523,0.010421523
2172,0.6401401,0.26174018,0.009874058
716,0.9596263,0.25895473,0.009768978
1331,0.97480816,0.25465167,0.009606646
999,0.982983,0.25442472,0.009598085
3847,0.9501168,0.24852271,0.009375433
2018,0.7370704,0.24790974,0.00935231
3186,0.97280616,0.24430522,0.00921633
2436,0.92759424,0.23756433,0.008962032
2627,0.87520856,0.22264892,0.008399353
3208,0.9194194,0.21356522,0.008056674
2903,0.9646313,0.21247053,0.008015377
814,0.8583584,0.2005419,0.0075653736
2858,0.89506173,0.19797939,0.007468704
3633,0.9452786,0.19638674,0.0074086217
2982,0.94811475,0.19508019,0.007359333
2993,0.9646313,0.19067688,0.0071932194
953,0.8910577,0.19065979,0.0071925744
1517,0.5870871,0.18544154,0.006995718
158,0.9364364,0.18350735,0.006922751
1832,0.82198864,0.17505087,0.0066037336
463,0.9364364,0.17330156,0.0065377415
2083,0.90707374,0.16510575,0.0062285573
2443,0.9804805,0.16323921,0.006158143
284,0.84851515,0.16102359,0.006074559
3382,0.94310975,0.1582681,0.005970609
74,0.8735402,0.15422583,0.005818116
3029,0.78411746,0.15338142,0.005786261
1262,0.83667,0.14894052,0.0056187296
2839,0.94761425,0.14597556,0.0055068773
3159,0.7897898,0.14449269,0.0054509365
539,0.75308645,0.14233994,0.005369725
576,0.32599267,0.13042507,0.0049202405
2713,0.75058395,0.12851937,0.004848349
2376,0.78461796,0.12840046,0.0048438627
2308,0.88371706,0.12718712,0.00479809
3762,0.18234901,0.12149253,0.004583264
1652,0.8318318,0.118203305,0.004459179
301,0.8101435,0.11094087,0.0041852063
3829,0.7100434,0.108049504,0.00407613
3919,0.8768769,0.10592659,0.003996044
919,0.7037037,0.1050563,0.0039632125
2330,0.83249915,0.10504629,0.003962835
2795,0.5740741,0.104598515,0.003945943
3519,0.64981645,0.10063589,0.0037964543
1973,0.6926927,0.09183459,0.0034644282
408,0.70553887,0.08720618,0.003289823
700,0.6531532,0.08633167,0.0032568325
3373,0.7867868,0.08581954,0.0032375127
2938,0.61578244,0.084381014,0.0031832445
2794,0.71888554,0.082005925,0.0030936452
3217,0.6646647,0.07961133,0.00300331
3932,0.7017017,0.07935568,0.0029936656
2865,0.59442776,0.07869688,0.0029688124
1330,0.36386386,0.0768804,0.0029002866
2828,0.5797464,0.07666354,0.0028921054
3720,0.7200534,0.07435231,0.0028049152
3249,0.69903237,0.07399832,0.002791561
827,0.58041376,0.07235854,0.0027297009
1381,0.49015683,0.064619176,0.0024377361
