dataset,N,FID_inception,MMD2_inception,Bhat_inception,FID_clip,MMD2_clip,Bhat_clip
**imagenet_split_half**,2000,37.4022,-2.5e-05,324.9148,0.0467,4.3e-05,27.0827
eurosat,27000,142.47,0.097452,196.0517,0.64,0.291092,207.2722
dtd,5640,91.47,0.033278,139.5928,0.28,0.089749,57.7151
imagenet-r,30000,57.0,0.044446,62.9385,0.18,0.047788,28.4859
imagenetv2,10000,10.17,0.005462,31.3531,0.05,0.020741,9.6256
caltech-101,9144,58.97,0.010988,120.3448,0.17,0.028229,36.0652
flowers102,8189,169.03,0.151512,310.6274,0.5,0.212036,156.0407
imagenet-a,7500,56.95,0.047457,71.9244,0.17,0.050052,22.8692
imagenet-o,2000,60.19,0.012083,238.2044,0.16,0.031727,32.5653
sketch,50889,70.19,0.052928,78.0,0.22,0.077645,37.1983
pathmnist,89996,224.35,0.195204,293.7678,0.73,0.422935,310.333
cub200,23576,133.91,0.089383,249.2817,0.45,0.153667,111.3958
UCF101,13320,98.4,0.074151,108.4207,0.39,0.12594,71.3764
oxford_pets,3680,407.07,0.689134,4485.8585,0.95,0.614003,826.6262
pacs/art,7943,149.25,0.116775,212.5716,0.38,0.133985,79.4571
pacs/cartoon,7647,132.26,0.095123,177.6759,0.36,0.110835,71.7016
pacs/photo,8321,140.46,0.119229,172.954,0.4,0.133696,84.1483
pacs/sketch,6062,85.65,0.044269,139.8969,0.3,0.079471,54.3351
oh/Art,4854,150.52,0.179474,310.4713,0.41,0.188153,73.4553
oh/Clipart,8730,169.76,0.197508,290.4904,0.51,0.262243,128.4884
oh/Product,8878,167.09,0.179172,301.2631,0.51,0.18948,118.927
oh/Real,8714,155.48,0.18,250.3318,0.41,0.185052,71.846
stanford_cars,8144,157.36,0.146245,425.4424,0.54,0.188168,106.3105
food101,75750,121.13,0.087566,182.5676,0.45,0.173894,81.2765

