image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
0,image_0001.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0001.jpg,True,2099,25.0945,2099,25.2154,"[2099, 38459, 4594, 41801, 33331]","[25.0945, 24.058, 18.2809, 17.4732, 9.1966]","[2099, 38459, 4594, 41801, 33331]","[25.2154, 24.0589, 18.4774, 17.6992, 9.2293]",5,5,[],[],True,9555,2.419,9555,2.0207,"[9555, 38515, 32698, 35077, 29095]","[2.419, 1.5408, 1.4212, 1.3521, 1.2518]","[9555, 38515, 32698, 35077, 29095]","[2.0207, 1.5235, 1.5086, 1.3499, 1.1331]",5,5,[],[],1.5189,0.4987,0.000332,26065,0.6292,1.128,0.4987,30806,0.4933,0.0,0.4933,14786,0.4377,0.9078,0.4701,24753,0.1996,0.6513,0.4517,9555,2.419,2.0207,0.3983
1,image_0002.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0002.jpg,True,2099,21.3847,2099,21.6043,"[2099, 38459, 4594, 41801, 33331]","[21.3847, 21.0113, 16.0073, 13.3765, 7.6811]","[2099, 38459, 4594, 41801, 33331]","[21.6043, 21.1566, 16.2358, 13.6336, 7.7408]",5,5,[],[],True,17548,1.6483,17548,1.6509,"[17548, 38515, 36126, 35619, 40491]","[1.6483, 1.5578, 1.3801, 1.1774, 0.9005]","[17548, 38515, 36126, 35619, 43726]","[1.6509, 1.5973, 1.4054, 1.2205, 0.8966]",4,4,[40491],[43726],0.4663,0.1583,0.000129,43358,0.4528,0.2944,0.1583,8385,0.556,0.6843,0.1283,23725,0.2486,0.1519,0.0968,19647,0.04,0.1318,0.0919,18601,0.8056,0.8952,0.0895
2,image_0003.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0003.jpg,True,2099,19.6536,2099,19.8879,"[2099, 38459, 4594, 41801, 39589]","[19.6536, 18.9995, 15.9067, 12.3206, 7.58]","[2099, 38459, 4594, 41801, 39589]","[19.8879, 19.1561, 16.1834, 12.5413, 7.854]",5,5,[],[],True,38232,1.4041,38232,1.3799,"[38232, 38515, 1914, 29095, 34605]","[1.4041, 1.1481, 1.0218, 0.9791, 0.7514]","[38232, 38515, 29095, 1914, 34605]","[1.3799, 1.1497, 0.9503, 0.9411, 0.7586]",5,5,[],[],0.4556,0.1181,0.000123,37677,0.1262,0.008,0.1181,1914,1.0218,0.9411,0.0806,22591,0.3134,0.2354,0.078,26055,0.1934,0.2685,0.0751,47628,0.1096,0.0345,0.0751
3,image_0004.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0004.jpg,True,2099,20.8443,2099,21.0154,"[2099, 38459, 4594, 41801, 33331]","[20.8443, 20.6099, 16.039, 12.3202, 8.1298]","[2099, 38459, 4594, 41801, 33331]","[21.0154, 20.6531, 16.2649, 12.5269, 8.1787]",5,5,[],[],True,39730,1.492,39730,1.6063,"[39730, 38515, 2702, 43358, 34321]","[1.492, 1.3336, 1.2506, 1.0605, 0.9902]","[39730, 2702, 38515, 43358, 34321]","[1.6063, 1.5973, 1.2109, 1.056, 0.8808]",5,5,[],[],0.803,0.3467,0.000169,2702,1.2506,1.5973,0.3467,5327,0.1203,0.3143,0.194,38726,0.0,0.1779,0.1779,15649,0.2406,0.0784,0.1622,2649,0.2495,0.0893,0.1603
4,image_0005.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0005.jpg,True,2099,22.7667,2099,22.4675,"[2099, 38459, 4594, 41801, 33331]","[22.7667, 22.3123, 16.9468, 14.9886, 9.0618]","[2099, 38459, 4594, 41801, 33331]","[22.4675, 22.0947, 16.6061, 14.6638, 8.967]",5,5,[],[],True,20894,2.2856,20894,2.2734,"[20894, 18359, 34574, 25790, 45563]","[2.2856, 1.8975, 1.3543, 1.052, 0.9391]","[20894, 18359, 34574, 25790, 24]","[2.2734, 1.8135, 1.3618, 1.0544, 1.0307]",4,4,[45563],[24],0.871,0.2145,0.00024,21621,0.4093,0.6238,0.2145,48214,0.7516,0.5376,0.214,24,0.8457,1.0307,0.185,441,0.8455,0.6768,0.1687,6276,0.5318,0.3783,0.1535
5,image_0006.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0006.jpg,True,2099,19.8065,2099,19.8451,"[2099, 38459, 4594, 41801, 33331]","[19.8065, 19.4218, 14.4869, 12.0671, 6.8931]","[2099, 38459, 4594, 41801, 33331]","[19.8451, 19.397, 14.6186, 12.1745, 6.8962]",5,5,[],[],False,38515,1.1617,34321,1.1187,"[38515, 34321, 29767, 25790, 3622]","[1.1617, 1.1087, 0.8177, 0.7906, 0.7012]","[34321, 38515, 29767, 25790, 22505]","[1.1187, 1.1134, 0.8296, 0.8208, 0.7484]",4,4,[3622],[22505],0.9399,0.2938,0.000233,48231,0.2938,0.0,0.2938,4201,0.4266,0.1454,0.2812,44639,0.2058,0.4176,0.2118,45783,0.3828,0.1822,0.2006,16063,0.3019,0.14,0.1619
6,image_0007.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0007.jpg,True,2099,20.609,2099,21.3277,"[2099, 38459, 4594, 41801, 33331]","[20.609, 20.5953, 14.8949, 13.1533, 7.9028]","[2099, 38459, 4594, 41801, 33331]","[21.3277, 21.0612, 15.6913, 13.9893, 8.0875]",5,5,[],[],True,39516,1.9035,39516,1.7182,"[39516, 38515, 40429, 25790, 42219]","[1.9035, 1.6119, 1.5711, 1.409, 1.3199]","[39516, 38515, 25790, 40429, 42219]","[1.7182, 1.5446, 1.4355, 1.396, 1.1715]",5,5,[],[],1.9735,0.5499,0.000729,33980,0.6589,0.109,0.5499,41861,0.3412,0.0,0.3412,17840,1.3172,0.983,0.3343,15358,0.3312,0.6408,0.3096,41040,0.4204,0.1263,0.2941
7,image_0008.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0008.jpg,True,2099,23.7455,2099,23.6049,"[2099, 38459, 4594, 41801, 33331]","[23.7455, 22.8071, 18.1009, 16.8447, 8.6421]","[2099, 38459, 4594, 41801, 33331]","[23.6049, 22.6928, 17.9722, 16.736, 8.6431]",5,5,[],[],True,38459,15.7436,38459,15.9402,"[38459, 2099, 4594, 41801, 33331]","[15.7436, 13.7908, 7.8689, 5.6863, 5.64]","[38459, 2099, 4594, 41801, 33331]","[15.9402, 14.0387, 8.0773, 5.9296, 5.7539]",5,5,[],[],0.6001,0.2479,0.000131,2099,13.7908,14.0387,0.2479,41801,5.6863,5.9296,0.2433,4594,7.8689,8.0773,0.2084,38459,15.7436,15.9402,0.1966,33331,5.64,5.7539,0.1139
8,image_0009.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0009.jpg,True,2099,24.6269,2099,24.6264,"[2099, 38459, 4594, 41801, 33331]","[24.6269, 23.4199, 18.2881, 17.5848, 8.2103]","[2099, 38459, 4594, 41801, 33331]","[24.6264, 23.3811, 18.306, 17.6014, 8.1716]",5,5,[],[],True,38515,1.6056,38515,1.6446,"[38515, 25790, 1634, 36109, 34321]","[1.6056, 1.2129, 1.1723, 1.123, 1.0495]","[38515, 1634, 25790, 36109, 34321]","[1.6446, 1.24, 1.214, 1.0915, 1.0831]",5,5,[],[],0.8295,0.2219,0.000234,48172,0.5088,0.287,0.2219,43285,0.625,0.817,0.1921,22352,0.482,0.3182,0.1638,5199,0.3616,0.2113,0.1503,47327,0.2882,0.1434,0.1449
9,image_0010.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0010.jpg,True,38459,18.8708,38459,18.949,"[38459, 2099, 4594, 41801, 33331]","[18.8708, 18.3348, 12.9188, 9.9613, 7.7404]","[38459, 2099, 4594, 41801, 33331]","[18.949, 18.5758, 13.326, 10.3051, 7.784]",5,5,[],[],True,38515,1.5166,38515,1.4796,"[38515, 25790, 34321, 29095, 34605]","[1.5166, 1.2328, 0.8723, 0.7665, 0.7091]","[38515, 25790, 34321, 5336, 29095]","[1.4796, 1.292, 0.7902, 0.7452, 0.7026]",4,4,[34605],[5336],1.1595,0.2848,0.000336,1527,0.2848,0.0,0.2848,5336,0.4935,0.7452,0.2518,47711,0.2179,0.0096,0.2083,11242,0.2036,0.0,0.2036,22810,0.0,0.1709,0.1709
10,image_0011.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0011.jpg,True,2099,21.9747,2099,21.9789,"[2099, 38459, 4594, 41801, 33331]","[21.9747, 21.3613, 17.3941, 14.5551, 8.5219]","[2099, 38459, 4594, 41801, 33331]","[21.9789, 21.2832, 17.4407, 14.6354, 8.4342]",5,5,[],[],True,25790,1.2613,25790,1.1512,"[25790, 34321, 38515, 19136, 25702]","[1.2613, 1.2171, 1.2012, 0.8145, 0.7703]","[25790, 34321, 38515, 29151, 19136]","[1.1512, 1.0931, 1.0589, 0.9736, 0.7872]",4,4,[25702],[29151],2.0453,0.9736,0.000541,29151,0.0,0.9736,0.9736,36126,0.6544,0.2536,0.4008,15167,0.5029,0.1747,0.3282,3463,0.3101,0.0,0.3101,24636,0.0,0.2909,0.2909
11,image_0012.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0012.jpg,True,38459,20.2533,38459,19.7784,"[38459, 2099, 4594, 41801, 33331]","[20.2533, 19.8671, 13.8621, 11.8027, 8.2144]","[38459, 2099, 4594, 41801, 33331]","[19.7784, 19.2279, 13.2442, 11.1291, 8.0502]",5,5,[],[],True,43358,1.6881,43358,1.6417,"[43358, 38515, 11413, 34321, 19999]","[1.6881, 1.2782, 1.1294, 1.0527, 1.0127]","[43358, 11413, 38515, 34321, 19999]","[1.6417, 1.2555, 1.1916, 1.0129, 0.9831]",5,5,[],[],0.906,0.1666,0.000308,10413,0.0344,0.201,0.1666,29053,0.0,0.1395,0.1395,22475,0.036,0.1667,0.1307,17149,0.1968,0.068,0.1288,11413,1.1294,1.2555,0.1261
12,image_0013.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0013.jpg,False,38459,23.5325,2099,24.0794,"[38459, 2099, 4594, 41801, 33331]","[23.5325, 23.2992, 15.0992, 14.5305, 9.2597]","[2099, 38459, 4594, 41801, 33331]","[24.0794, 23.9684, 16.0638, 15.5642, 9.4131]",5,5,[],[],True,13027,5.1176,13027,5.2258,"[13027, 46076, 19273, 38515, 29767]","[5.1176, 3.265, 1.7165, 1.2042, 0.862]","[13027, 46076, 19273, 38515, 20336]","[5.2258, 3.2842, 1.7855, 1.1692, 0.8549]",4,4,[29767],[20336],0.6582,0.1465,0.000183,23727,0.2776,0.4241,0.1465,13915,0.5855,0.7223,0.1368,35292,0.0995,0.2332,0.1337,26522,0.656,0.5336,0.1225,36126,0.2429,0.3596,0.1167
13,image_0014.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0014.jpg,True,2099,24.0974,2099,24.3059,"[2099, 38459, 4594, 41801, 33331]","[24.0974, 22.979, 19.0765, 17.1078, 8.1043]","[2099, 38459, 4594, 41801, 33331]","[24.3059, 23.1203, 19.2418, 17.2834, 8.1933]",5,5,[],[],True,12689,1.4642,12689,1.3052,"[12689, 38515, 18792, 25790, 29767]","[1.4642, 1.3649, 0.7591, 0.7135, 0.708]","[12689, 38515, 538, 32909, 18792]","[1.3052, 1.2957, 0.9575, 0.8134, 0.7323]",3,3,"[25790, 29767]","[538, 32909]",1.2604,0.45,0.000322,45465,0.2094,0.6594,0.45,38661,0.0484,0.3657,0.3173,32909,0.5537,0.8134,0.2597,538,0.7012,0.9575,0.2563,38617,0.5784,0.3222,0.2562
14,image_0015.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0015.jpg,True,38459,17.0076,38459,17.3291,"[38459, 2099, 4594, 41801, 39589]","[17.0076, 16.5013, 12.3747, 8.8095, 7.5873]","[38459, 2099, 4594, 41801, 39589]","[17.3291, 16.9347, 12.8032, 9.2626, 7.5925]",5,5,[],[],True,22505,1.5069,22505,1.6288,"[22505, 1527, 12961, 40293, 38515]","[1.5069, 1.4487, 1.312, 1.1975, 1.0744]","[22505, 12961, 1527, 38515, 40293]","[1.6288, 1.3472, 1.1576, 1.0961, 1.0327]",5,5,[],[],1.0713,0.2911,0.000328,1527,1.4487,1.1576,0.2911,12743,0.3038,0.5437,0.2398,4533,0.2112,0.4128,0.2016,19647,0.237,0.0662,0.1708,40293,1.1975,1.0327,0.1648
15,image_0016.jpg,/home/sunayana/Documents/Concept_LoRA/data/caltech-101/Caltech101/101_ObjectCategories/BACKGROUND_Google/image_0016.jpg,True,2099,20.9814,2099,20.9708,"[2099, 38459, 4594, 41801, 33331]","[20.9814, 20.2316, 16.9293, 13.4862, 7.5928]","[2099, 38459, 4594, 41801, 33331]","[20.9708, 20.2097, 16.9622, 13.4947, 7.6106]",5,5,[],[],True,25790,1.7962,25790,1.7906,"[25790, 38515, 34321, 5076, 29095]","[1.7962, 1.4246, 1.3739, 0.8777, 0.7362]","[25790, 34321, 38515, 5076, 29095]","[1.7906, 1.3487, 1.3128, 0.8267, 0.6977]",5,5,[],[],0.8015,0.1873,0.000231,47516,0.3245,0.1372,0.1873,21325,0.5181,0.3434,0.1747,1755,0.4246,0.2868,0.1377,2687,0.2775,0.1499,0.1276,12959,0.5021,0.3836,0.1184
