image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
0,image_0001.jpg,global,1,2099,25.0945,2099,25.2154,True,1,1
0,image_0001.jpg,global,2,38459,24.058,38459,24.0589,True,2,2
0,image_0001.jpg,global,3,4594,18.2809,4594,18.4774,True,3,3
0,image_0001.jpg,global,4,41801,17.4732,41801,17.6992,True,4,4
0,image_0001.jpg,global,5,33331,9.1966,33331,9.2293,True,5,5
0,image_0001.jpg,patch88,1,9555,2.419,9555,2.0207,True,1,1
0,image_0001.jpg,patch88,2,38515,1.5408,38515,1.5235,True,2,2
0,image_0001.jpg,patch88,3,32698,1.4212,32698,1.5086,True,3,3
0,image_0001.jpg,patch88,4,35077,1.3521,35077,1.3499,True,4,4
0,image_0001.jpg,patch88,5,29095,1.2518,29095,1.1331,True,5,5
1,image_0002.jpg,global,1,2099,21.3847,2099,21.6043,True,1,1
1,image_0002.jpg,global,2,38459,21.0113,38459,21.1566,True,2,2
1,image_0002.jpg,global,3,4594,16.0073,4594,16.2358,True,3,3
1,image_0002.jpg,global,4,41801,13.3765,41801,13.6336,True,4,4
1,image_0002.jpg,global,5,33331,7.6811,33331,7.7408,True,5,5
1,image_0002.jpg,patch88,1,17548,1.6483,17548,1.6509,True,1,1
1,image_0002.jpg,patch88,2,38515,1.5578,38515,1.5973,True,2,2
1,image_0002.jpg,patch88,3,36126,1.3801,36126,1.4054,True,3,3
1,image_0002.jpg,patch88,4,35619,1.1774,35619,1.2205,True,4,4
1,image_0002.jpg,patch88,5,40491,0.9005,43726,0.8966,False,,
2,image_0003.jpg,global,1,2099,19.6536,2099,19.8879,True,1,1
2,image_0003.jpg,global,2,38459,18.9995,38459,19.1561,True,2,2
2,image_0003.jpg,global,3,4594,15.9067,4594,16.1834,True,3,3
2,image_0003.jpg,global,4,41801,12.3206,41801,12.5413,True,4,4
2,image_0003.jpg,global,5,39589,7.58,39589,7.854,True,5,5
2,image_0003.jpg,patch88,1,38232,1.4041,38232,1.3799,True,1,1
2,image_0003.jpg,patch88,2,38515,1.1481,38515,1.1497,True,2,2
2,image_0003.jpg,patch88,3,1914,1.0218,29095,0.9503,False,4,4
2,image_0003.jpg,patch88,4,29095,0.9791,1914,0.9411,False,3,3
2,image_0003.jpg,patch88,5,34605,0.7514,34605,0.7586,True,5,5
3,image_0004.jpg,global,1,2099,20.8443,2099,21.0154,True,1,1
3,image_0004.jpg,global,2,38459,20.6099,38459,20.6531,True,2,2
3,image_0004.jpg,global,3,4594,16.039,4594,16.2649,True,3,3
3,image_0004.jpg,global,4,41801,12.3202,41801,12.5269,True,4,4
3,image_0004.jpg,global,5,33331,8.1298,33331,8.1787,True,5,5
3,image_0004.jpg,patch88,1,39730,1.492,39730,1.6063,True,1,1
3,image_0004.jpg,patch88,2,38515,1.3336,2702,1.5973,False,3,3
3,image_0004.jpg,patch88,3,2702,1.2506,38515,1.2109,False,2,2
3,image_0004.jpg,patch88,4,43358,1.0605,43358,1.056,True,4,4
3,image_0004.jpg,patch88,5,34321,0.9902,34321,0.8808,True,5,5
4,image_0005.jpg,global,1,2099,22.7667,2099,22.4675,True,1,1
4,image_0005.jpg,global,2,38459,22.3123,38459,22.0947,True,2,2
4,image_0005.jpg,global,3,4594,16.9468,4594,16.6061,True,3,3
4,image_0005.jpg,global,4,41801,14.9886,41801,14.6638,True,4,4
4,image_0005.jpg,global,5,33331,9.0618,33331,8.967,True,5,5
4,image_0005.jpg,patch88,1,20894,2.2856,20894,2.2734,True,1,1
4,image_0005.jpg,patch88,2,18359,1.8975,18359,1.8135,True,2,2
4,image_0005.jpg,patch88,3,34574,1.3543,34574,1.3618,True,3,3
4,image_0005.jpg,patch88,4,25790,1.052,25790,1.0544,True,4,4
4,image_0005.jpg,patch88,5,45563,0.9391,24,1.0307,False,,
5,image_0006.jpg,global,1,2099,19.8065,2099,19.8451,True,1,1
5,image_0006.jpg,global,2,38459,19.4218,38459,19.397,True,2,2
5,image_0006.jpg,global,3,4594,14.4869,4594,14.6186,True,3,3
5,image_0006.jpg,global,4,41801,12.0671,41801,12.1745,True,4,4
5,image_0006.jpg,global,5,33331,6.8931,33331,6.8962,True,5,5
5,image_0006.jpg,patch88,1,38515,1.1617,34321,1.1187,False,2,2
5,image_0006.jpg,patch88,2,34321,1.1087,38515,1.1134,False,1,1
5,image_0006.jpg,patch88,3,29767,0.8177,29767,0.8296,True,3,3
5,image_0006.jpg,patch88,4,25790,0.7906,25790,0.8208,True,4,4
5,image_0006.jpg,patch88,5,3622,0.7012,22505,0.7484,False,,
6,image_0007.jpg,global,1,2099,20.609,2099,21.3277,True,1,1
6,image_0007.jpg,global,2,38459,20.5953,38459,21.0612,True,2,2
6,image_0007.jpg,global,3,4594,14.8949,4594,15.6913,True,3,3
6,image_0007.jpg,global,4,41801,13.1533,41801,13.9893,True,4,4
6,image_0007.jpg,global,5,33331,7.9028,33331,8.0875,True,5,5
6,image_0007.jpg,patch88,1,39516,1.9035,39516,1.7182,True,1,1
6,image_0007.jpg,patch88,2,38515,1.6119,38515,1.5446,True,2,2
6,image_0007.jpg,patch88,3,40429,1.5711,25790,1.4355,False,4,4
6,image_0007.jpg,patch88,4,25790,1.409,40429,1.396,False,3,3
6,image_0007.jpg,patch88,5,42219,1.3199,42219,1.1715,True,5,5
7,image_0008.jpg,global,1,2099,23.7455,2099,23.6049,True,1,1
7,image_0008.jpg,global,2,38459,22.8071,38459,22.6928,True,2,2
7,image_0008.jpg,global,3,4594,18.1009,4594,17.9722,True,3,3
7,image_0008.jpg,global,4,41801,16.8447,41801,16.736,True,4,4
7,image_0008.jpg,global,5,33331,8.6421,33331,8.6431,True,5,5
7,image_0008.jpg,patch88,1,38459,15.7436,38459,15.9402,True,1,1
7,image_0008.jpg,patch88,2,2099,13.7908,2099,14.0387,True,2,2
7,image_0008.jpg,patch88,3,4594,7.8689,4594,8.0773,True,3,3
7,image_0008.jpg,patch88,4,41801,5.6863,41801,5.9296,True,4,4
7,image_0008.jpg,patch88,5,33331,5.64,33331,5.7539,True,5,5
8,image_0009.jpg,global,1,2099,24.6269,2099,24.6264,True,1,1
8,image_0009.jpg,global,2,38459,23.4199,38459,23.3811,True,2,2
8,image_0009.jpg,global,3,4594,18.2881,4594,18.306,True,3,3
8,image_0009.jpg,global,4,41801,17.5848,41801,17.6014,True,4,4
8,image_0009.jpg,global,5,33331,8.2103,33331,8.1716,True,5,5
8,image_0009.jpg,patch88,1,38515,1.6056,38515,1.6446,True,1,1
8,image_0009.jpg,patch88,2,25790,1.2129,1634,1.24,False,3,3
8,image_0009.jpg,patch88,3,1634,1.1723,25790,1.214,False,2,2
8,image_0009.jpg,patch88,4,36109,1.123,36109,1.0915,True,4,4
8,image_0009.jpg,patch88,5,34321,1.0495,34321,1.0831,True,5,5
9,image_0010.jpg,global,1,38459,18.8708,38459,18.949,True,1,1
9,image_0010.jpg,global,2,2099,18.3348,2099,18.5758,True,2,2
9,image_0010.jpg,global,3,4594,12.9188,4594,13.326,True,3,3
9,image_0010.jpg,global,4,41801,9.9613,41801,10.3051,True,4,4
9,image_0010.jpg,global,5,33331,7.7404,33331,7.784,True,5,5
9,image_0010.jpg,patch88,1,38515,1.5166,38515,1.4796,True,1,1
9,image_0010.jpg,patch88,2,25790,1.2328,25790,1.292,True,2,2
9,image_0010.jpg,patch88,3,34321,0.8723,34321,0.7902,True,3,3
9,image_0010.jpg,patch88,4,29095,0.7665,5336,0.7452,False,5,
9,image_0010.jpg,patch88,5,34605,0.7091,29095,0.7026,False,,4
10,image_0011.jpg,global,1,2099,21.9747,2099,21.9789,True,1,1
10,image_0011.jpg,global,2,38459,21.3613,38459,21.2832,True,2,2
10,image_0011.jpg,global,3,4594,17.3941,4594,17.4407,True,3,3
10,image_0011.jpg,global,4,41801,14.5551,41801,14.6354,True,4,4
10,image_0011.jpg,global,5,33331,8.5219,33331,8.4342,True,5,5
10,image_0011.jpg,patch88,1,25790,1.2613,25790,1.1512,True,1,1
10,image_0011.jpg,patch88,2,34321,1.2171,34321,1.0931,True,2,2
10,image_0011.jpg,patch88,3,38515,1.2012,38515,1.0589,True,3,3
10,image_0011.jpg,patch88,4,19136,0.8145,29151,0.9736,False,5,
10,image_0011.jpg,patch88,5,25702,0.7703,19136,0.7872,False,,4
11,image_0012.jpg,global,1,38459,20.2533,38459,19.7784,True,1,1
11,image_0012.jpg,global,2,2099,19.8671,2099,19.2279,True,2,2
11,image_0012.jpg,global,3,4594,13.8621,4594,13.2442,True,3,3
11,image_0012.jpg,global,4,41801,11.8027,41801,11.1291,True,4,4
11,image_0012.jpg,global,5,33331,8.2144,33331,8.0502,True,5,5
11,image_0012.jpg,patch88,1,43358,1.6881,43358,1.6417,True,1,1
11,image_0012.jpg,patch88,2,38515,1.2782,11413,1.2555,False,3,3
11,image_0012.jpg,patch88,3,11413,1.1294,38515,1.1916,False,2,2
11,image_0012.jpg,patch88,4,34321,1.0527,34321,1.0129,True,4,4
11,image_0012.jpg,patch88,5,19999,1.0127,19999,0.9831,True,5,5
12,image_0013.jpg,global,1,38459,23.5325,2099,24.0794,False,2,2
12,image_0013.jpg,global,2,2099,23.2992,38459,23.9684,False,1,1
12,image_0013.jpg,global,3,4594,15.0992,4594,16.0638,True,3,3
12,image_0013.jpg,global,4,41801,14.5305,41801,15.5642,True,4,4
12,image_0013.jpg,global,5,33331,9.2597,33331,9.4131,True,5,5
12,image_0013.jpg,patch88,1,13027,5.1176,13027,5.2258,True,1,1
12,image_0013.jpg,patch88,2,46076,3.265,46076,3.2842,True,2,2
12,image_0013.jpg,patch88,3,19273,1.7165,19273,1.7855,True,3,3
12,image_0013.jpg,patch88,4,38515,1.2042,38515,1.1692,True,4,4
12,image_0013.jpg,patch88,5,29767,0.862,20336,0.8549,False,,
13,image_0014.jpg,global,1,2099,24.0974,2099,24.3059,True,1,1
13,image_0014.jpg,global,2,38459,22.979,38459,23.1203,True,2,2
13,image_0014.jpg,global,3,4594,19.0765,4594,19.2418,True,3,3
13,image_0014.jpg,global,4,41801,17.1078,41801,17.2834,True,4,4
13,image_0014.jpg,global,5,33331,8.1043,33331,8.1933,True,5,5
13,image_0014.jpg,patch88,1,12689,1.4642,12689,1.3052,True,1,1
13,image_0014.jpg,patch88,2,38515,1.3649,38515,1.2957,True,2,2
13,image_0014.jpg,patch88,3,18792,0.7591,538,0.9575,False,5,
13,image_0014.jpg,patch88,4,25790,0.7135,32909,0.8134,False,,
13,image_0014.jpg,patch88,5,29767,0.708,18792,0.7323,False,,3
14,image_0015.jpg,global,1,38459,17.0076,38459,17.3291,True,1,1
14,image_0015.jpg,global,2,2099,16.5013,2099,16.9347,True,2,2
14,image_0015.jpg,global,3,4594,12.3747,4594,12.8032,True,3,3
14,image_0015.jpg,global,4,41801,8.8095,41801,9.2626,True,4,4
14,image_0015.jpg,global,5,39589,7.5873,39589,7.5925,True,5,5
14,image_0015.jpg,patch88,1,22505,1.5069,22505,1.6288,True,1,1
14,image_0015.jpg,patch88,2,1527,1.4487,12961,1.3472,False,3,3
14,image_0015.jpg,patch88,3,12961,1.312,1527,1.1576,False,2,2
14,image_0015.jpg,patch88,4,40293,1.1975,38515,1.0961,False,5,5
14,image_0015.jpg,patch88,5,38515,1.0744,40293,1.0327,False,4,4
15,image_0016.jpg,global,1,2099,20.9814,2099,20.9708,True,1,1
15,image_0016.jpg,global,2,38459,20.2316,38459,20.2097,True,2,2
15,image_0016.jpg,global,3,4594,16.9293,4594,16.9622,True,3,3
15,image_0016.jpg,global,4,41801,13.4862,41801,13.4947,True,4,4
15,image_0016.jpg,global,5,33331,7.5928,33331,7.6106,True,5,5
15,image_0016.jpg,patch88,1,25790,1.7962,25790,1.7906,True,1,1
15,image_0016.jpg,patch88,2,38515,1.4246,34321,1.3487,False,3,3
15,image_0016.jpg,patch88,3,34321,1.3739,38515,1.3128,False,2,2
15,image_0016.jpg,patch88,4,5076,0.8777,5076,0.8267,True,4,4
15,image_0016.jpg,patch88,5,29095,0.7362,29095,0.6977,True,5,5
16,image_0017.jpg,global,1,2099,20.4462,2099,20.1164,True,1,1
16,image_0017.jpg,global,2,38459,20.2857,38459,20.0031,True,2,2
16,image_0017.jpg,global,3,4594,15.5376,4594,15.2498,True,3,3
16,image_0017.jpg,global,4,41801,12.6529,41801,12.3104,True,4,4
16,image_0017.jpg,global,5,33331,7.6856,33331,7.5815,True,5,5
16,image_0017.jpg,patch88,1,38515,1.3725,38515,1.3911,True,1,1
16,image_0017.jpg,patch88,2,25790,1.1241,25790,1.1297,True,2,2
16,image_0017.jpg,patch88,3,45320,1.0745,32567,0.9815,False,5,4
16,image_0017.jpg,patch88,4,32567,0.9378,33111,0.9126,False,3,5
