image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
0,AnnualCrop_1.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1.jpg,True,2099,21.1103,2099,21.5714,"[2099, 38459, 4594, 41801, 33331]","[21.1103, 21.0458, 16.0717, 13.1159, 8.5985]","[2099, 38459, 4594, 41801, 33331]","[21.5714, 21.521, 16.2198, 13.371, 8.6601]",5,5,[],[],True,38515,1.2064,38515,1.8819,"[38515, 25790, 16439, 29095, 34321]","[1.2064, 1.2064, 0.9079, 0.8939, 0.8779]","[38515, 25916, 25790, 36126, 29095]","[1.8819, 1.4008, 1.3118, 1.2582, 1.2242]",3,3,"[16439, 34321]","[25916, 36126]",4.9034,1.1136,0.001901,25916,0.2872,1.4008,1.1136,36126,0.2037,1.2582,1.0545,49029,0.0283,0.9624,0.9341,38515,1.2064,1.8819,0.6756,43820,0.0,0.6213,0.6213
1,AnnualCrop_10.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_10.jpg,False,2099,19.7906,38459,20.1602,"[2099, 38459, 4594, 41801, 33331]","[19.7906, 19.6711, 15.6279, 11.6546, 8.1759]","[38459, 2099, 4594, 41801, 33331]","[20.1602, 20.1203, 15.5317, 12.0951, 8.3257]",5,5,[],[],False,38515,0.6965,25790,1.2392,"[38515, 25790, 27607, 32567, 1588]","[0.6965, 0.626, 0.5189, 0.4513, 0.4425]","[25790, 38515, 16439, 40545, 19999]","[1.2392, 0.8552, 0.8308, 0.7518, 0.6892]",2,2,"[1588, 27607, 32567]","[16439, 19999, 40545]",2.9983,0.7717,0.000921,16439,0.0591,0.8308,0.7717,25790,0.626,1.2392,0.6131,19999,0.1595,0.6892,0.5298,40545,0.2604,0.7518,0.4914,22751,0.0,0.4711,0.4711
2,AnnualCrop_100.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_100.jpg,True,2099,19.9734,2099,20.7804,"[2099, 38459, 4594, 41801, 33331]","[19.9734, 19.8761, 15.5952, 12.4033, 8.2036]","[2099, 38459, 4594, 41801, 33331]","[20.7804, 20.655, 15.8237, 13.0532, 8.3685]",5,5,[],[],True,38515,1.466,38515,1.6896,"[38515, 25790, 47850, 34321, 8557]","[1.466, 1.1891, 0.9739, 0.9278, 0.7768]","[38515, 25790, 34321, 29095, 40545]","[1.6896, 1.4072, 1.0779, 1.0433, 0.9917]",3,3,"[8557, 47850]","[29095, 40545]",3.9319,0.8982,0.001465,47850,0.9739,0.0757,0.8982,3537,0.7715,0.0,0.7715,36126,0.0,0.762,0.762,33576,0.1513,0.8427,0.6913,15167,0.0508,0.6622,0.6114
3,AnnualCrop_1000.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1000.jpg,True,2099,21.0181,2099,22.0749,"[2099, 38459, 4594, 41801, 33331]","[21.0181, 20.8916, 15.8457, 13.2048, 8.6748]","[2099, 38459, 4594, 41801, 33331]","[22.0749, 21.7593, 16.4501, 14.0651, 9.1174]",5,5,[],[],True,38515,1.3969,38515,1.5122,"[38515, 25790, 34321, 29095, 23067]","[1.3969, 1.0851, 0.9901, 0.9115, 0.8739]","[38515, 25790, 34321, 21836, 40545]","[1.5122, 0.9186, 0.9002, 0.8956, 0.8592]",3,3,"[23067, 29095]","[21836, 40545]",3.1393,0.5484,0.001113,44545,0.0,0.5484,0.5484,15895,0.5479,0.0,0.5479,22505,0.0,0.4814,0.4814,40429,0.0,0.4771,0.4771,40545,0.3855,0.8592,0.4737
4,AnnualCrop_1001.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1001.jpg,True,2099,23.2002,2099,24.6066,"[2099, 38459, 4594, 41801, 33331]","[23.2002, 22.1904, 18.7601, 15.7218, 9.2719]","[2099, 38459, 4594, 41801, 33331]","[24.6066, 23.3354, 19.7506, 16.9151, 9.3745]",5,5,[],[],False,39589,5.9777,38515,1.5084,"[39589, 8403, 15485, 133, 3874]","[5.9777, 5.6111, 3.7904, 2.3215, 1.8145]","[38515, 40545, 34321, 29095, 21836]","[1.5084, 0.9991, 0.9789, 0.9499, 0.9451]",0,0,"[133, 3874, 8403, 15485, 39589]","[21836, 29095, 34321, 38515, 40545]",12.1539,5.9777,0.004074,39589,5.9777,0.0,5.9777,8403,5.6111,0.0,5.6111,15485,3.7904,0.0,3.7904,133,2.3215,0.0,2.3215,3874,1.8145,0.0,1.8145
5,AnnualCrop_1002.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1002.jpg,False,2099,20.1235,38459,19.7848,"[2099, 38459, 4594, 41801, 33331]","[20.1235, 20.0374, 15.5844, 11.9766, 8.4709]","[38459, 2099, 4594, 41801, 33331]","[19.7848, 19.6674, 14.5714, 10.9901, 8.3408]",5,5,[],[],True,25790,1.5152,25790,1.2332,"[25790, 13821, 27607, 38515, 34321]","[1.5152, 1.1035, 1.0992, 0.9218, 0.7975]","[25790, 38515, 34321, 27290, 23067]","[1.2332, 1.0388, 0.7617, 0.7594, 0.7165]",3,3,"[13821, 27607]","[23067, 27290]",3.232,0.9215,0.000971,13821,1.1035,0.1821,0.9215,9889,0.7473,0.1277,0.6195,33376,0.575,0.0,0.575,5118,0.0,0.5414,0.5414,14809,0.5538,0.0171,0.5367
6,AnnualCrop_1003.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1003.jpg,True,38459,19.4248,38459,19.8404,"[38459, 2099, 4594, 41801, 33331]","[19.4248, 19.2104, 14.8079, 10.9113, 8.3905]","[38459, 2099, 4594, 41801, 33331]","[19.8404, 19.5884, 14.8252, 11.9819, 8.1356]",5,5,[],[],False,30806,1.5208,38515,1.0199,"[30806, 49097, 35764, 39250, 33783]","[1.5208, 1.4656, 0.6464, 0.6113, 0.5723]","[38515, 25790, 34321, 29095, 19999]","[1.0199, 0.8989, 0.7721, 0.7708, 0.5512]",0,0,"[30806, 33783, 35764, 39250, 49097]","[19999, 25790, 29095, 34321, 38515]",4.282,1.5208,0.001216,30806,1.5208,0.0,1.5208,49097,1.4656,0.0,1.4656,35764,0.6464,0.0,0.6464,39250,0.6113,0.0,0.6113,33783,0.5723,0.0,0.5723
7,AnnualCrop_1004.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1004.jpg,True,38459,20.0551,38459,21.0441,"[38459, 2099, 4594, 41801, 33331]","[20.0551, 19.813, 14.7578, 11.4041, 8.7438]","[38459, 2099, 4594, 41801, 33331]","[21.0441, 20.949, 15.4536, 12.7329, 9.0618]",5,5,[],[],True,38515,0.9189,38515,1.1897,"[38515, 25790, 16807, 29095, 27607]","[0.9189, 0.7596, 0.7312, 0.6346, 0.5544]","[38515, 40545, 25790, 4178, 49029]","[1.1897, 0.9387, 0.9319, 0.8418, 0.7454]",2,2,"[16807, 27607, 29095]","[4178, 40545, 49029]",3.3148,0.8418,0.000953,4178,0.0,0.8418,0.8418,16807,0.7312,0.0,0.7312,49029,0.0265,0.7454,0.719,40545,0.2939,0.9387,0.6448,32909,0.0,0.5682,0.5682
8,AnnualCrop_1005.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1005.jpg,True,2099,22.0064,2099,22.572,"[2099, 38459, 4594, 41801, 33331]","[22.0064, 21.4427, 17.219, 14.1947, 8.9982]","[2099, 38459, 4594, 41801, 33331]","[22.572, 22.0137, 17.2317, 14.3608, 9.2085]",5,5,[],[],False,38515,1.0551,760,1.374,"[38515, 25790, 9264, 34321, 19794]","[1.0551, 0.9942, 0.9835, 0.7628, 0.6951]","[760, 38515, 25790, 19999, 34321]","[1.374, 1.3014, 1.191, 0.7735, 0.7504]",3,3,"[9264, 19794]","[760, 19999]",3.1317,1.374,0.000786,760,0.0,1.374,1.374,9264,0.9835,0.1418,0.8417,19794,0.6951,0.0,0.6951,45888,0.5306,0.0,0.5306,19999,0.2719,0.7735,0.5016
9,AnnualCrop_1006.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1006.jpg,True,2099,21.3391,2099,21.6941,"[2099, 38459, 4594, 41801, 33331]","[21.3391, 20.8433, 16.9389, 13.2199, 8.7654]","[2099, 38459, 4594, 41801, 33331]","[21.6941, 21.4873, 17.0707, 13.9469, 8.6707]",5,5,[],[],True,13248,1.8135,13248,2.7811,"[13248, 23656, 25790, 38515, 3301]","[1.8135, 1.0437, 1.0278, 0.9598, 0.8629]","[13248, 38515, 25790, 34321, 3301]","[2.7811, 1.5253, 1.0364, 1.0215, 0.891]",4,4,[23656],[34321],4.4406,1.0437,0.001415,23656,1.0437,0.0,1.0437,13248,1.8135,2.7811,0.9676,1764,0.0,0.8242,0.8242,19358,0.7246,0.0,0.7246,48862,0.0,0.6871,0.6871
