image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
0,AnnualCrop_1.jpg,global,1,2099,21.1103,2099,21.5714,True,1,1
0,AnnualCrop_1.jpg,global,2,38459,21.0458,38459,21.521,True,2,2
0,AnnualCrop_1.jpg,global,3,4594,16.0717,4594,16.2198,True,3,3
0,AnnualCrop_1.jpg,global,4,41801,13.1159,41801,13.371,True,4,4
0,AnnualCrop_1.jpg,global,5,33331,8.5985,33331,8.6601,True,5,5
0,AnnualCrop_1.jpg,patch88,1,38515,1.2064,38515,1.8819,True,1,1
0,AnnualCrop_1.jpg,patch88,2,25790,1.2064,25916,1.4008,False,3,
0,AnnualCrop_1.jpg,patch88,3,16439,0.9079,25790,1.3118,False,,2
0,AnnualCrop_1.jpg,patch88,4,29095,0.8939,36126,1.2582,False,5,
0,AnnualCrop_1.jpg,patch88,5,34321,0.8779,29095,1.2242,False,,4
1,AnnualCrop_10.jpg,global,1,2099,19.7906,38459,20.1602,False,2,2
1,AnnualCrop_10.jpg,global,2,38459,19.6711,2099,20.1203,False,1,1
1,AnnualCrop_10.jpg,global,3,4594,15.6279,4594,15.5317,True,3,3
1,AnnualCrop_10.jpg,global,4,41801,11.6546,41801,12.0951,True,4,4
1,AnnualCrop_10.jpg,global,5,33331,8.1759,33331,8.3257,True,5,5
1,AnnualCrop_10.jpg,patch88,1,38515,0.6965,25790,1.2392,False,2,2
1,AnnualCrop_10.jpg,patch88,2,25790,0.626,38515,0.8552,False,1,1
1,AnnualCrop_10.jpg,patch88,3,27607,0.5189,16439,0.8308,False,,
1,AnnualCrop_10.jpg,patch88,4,32567,0.4513,40545,0.7518,False,,
1,AnnualCrop_10.jpg,patch88,5,1588,0.4425,19999,0.6892,False,,
2,AnnualCrop_100.jpg,global,1,2099,19.9734,2099,20.7804,True,1,1
2,AnnualCrop_100.jpg,global,2,38459,19.8761,38459,20.655,True,2,2
2,AnnualCrop_100.jpg,global,3,4594,15.5952,4594,15.8237,True,3,3
2,AnnualCrop_100.jpg,global,4,41801,12.4033,41801,13.0532,True,4,4
2,AnnualCrop_100.jpg,global,5,33331,8.2036,33331,8.3685,True,5,5
2,AnnualCrop_100.jpg,patch88,1,38515,1.466,38515,1.6896,True,1,1
2,AnnualCrop_100.jpg,patch88,2,25790,1.1891,25790,1.4072,True,2,2
2,AnnualCrop_100.jpg,patch88,3,47850,0.9739,34321,1.0779,False,,4
2,AnnualCrop_100.jpg,patch88,4,34321,0.9278,29095,1.0433,False,3,
2,AnnualCrop_100.jpg,patch88,5,8557,0.7768,40545,0.9917,False,,
3,AnnualCrop_1000.jpg,global,1,2099,21.0181,2099,22.0749,True,1,1
3,AnnualCrop_1000.jpg,global,2,38459,20.8916,38459,21.7593,True,2,2
3,AnnualCrop_1000.jpg,global,3,4594,15.8457,4594,16.4501,True,3,3
3,AnnualCrop_1000.jpg,global,4,41801,13.2048,41801,14.0651,True,4,4
3,AnnualCrop_1000.jpg,global,5,33331,8.6748,33331,9.1174,True,5,5
3,AnnualCrop_1000.jpg,patch88,1,38515,1.3969,38515,1.5122,True,1,1
3,AnnualCrop_1000.jpg,patch88,2,25790,1.0851,25790,0.9186,True,2,2
3,AnnualCrop_1000.jpg,patch88,3,34321,0.9901,34321,0.9002,True,3,3
3,AnnualCrop_1000.jpg,patch88,4,29095,0.9115,21836,0.8956,False,,
3,AnnualCrop_1000.jpg,patch88,5,23067,0.8739,40545,0.8592,False,,
4,AnnualCrop_1001.jpg,global,1,2099,23.2002,2099,24.6066,True,1,1
4,AnnualCrop_1001.jpg,global,2,38459,22.1904,38459,23.3354,True,2,2
