image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
0,img_000000_label8,img_000000_label8,True,2099,23.733,2099,24.1628,"[2099, 38459, 4594, 41801, 33331]","[23.733, 22.8189, 18.4058, 15.5168, 9.7921]","[2099, 38459, 4594, 41801, 33331]","[24.1628, 23.3543, 18.6742, 16.0587, 9.9095]",5,5,[],[],True,38515,1.2806,38515,1.534,"[38515, 45888, 14809, 33093, 5336]","[1.2806, 1.0024, 0.888, 0.8606, 0.7574]","[38515, 1527, 25790, 5336, 45888]","[1.534, 1.2527, 0.9312, 0.8562, 0.8348]",3,3,"[14809, 33093]","[1527, 25790]",3.7606,0.9388,0.001332,1527,0.3139,1.2527,0.9388,6076,0.0,0.5523,0.5523,25916,0.554,0.0167,0.5373,24976,0.0053,0.5271,0.5218,22107,0.2235,0.7056,0.4821
1,img_000001_label4,img_000001_label4,True,38459,18.5269,38459,20.7401,"[38459, 2099, 4594, 41801, 33331]","[18.5269, 17.9223, 12.5112, 9.3579, 8.0837]","[38459, 2099, 4594, 41801, 33331]","[20.7401, 20.6046, 14.5844, 12.1841, 8.8821]",5,5,[],[],True,38515,1.3622,38515,1.6308,"[38515, 17205, 19666, 28815, 29095]","[1.3622, 0.7151, 0.715, 0.6978, 0.6699]","[38515, 25790, 16136, 34321, 29767]","[1.6308, 1.0963, 0.9006, 0.857, 0.7116]",1,1,"[17205, 19666, 28815, 29095]","[16136, 25790, 29767, 34321]",3.3952,0.9006,0.000982,16136,0.0,0.9006,0.9006,11366,0.0,0.7089,0.7089,28815,0.6978,0.0,0.6978,15358,0.0,0.6211,0.6211,25790,0.5013,1.0963,0.595
2,img_000002_label4,img_000002_label4,True,2099,22.3091,2099,21.9068,"[2099, 38459, 4594, 41801, 33331]","[22.3091, 21.7536, 17.5933, 14.0754, 9.2227]","[2099, 38459, 4594, 41801, 33331]","[21.9068, 21.4663, 16.7766, 13.5386, 9.0658]",5,5,[],[],True,38459,17.7783,38459,17.1764,"[38459, 2099, 4594, 41801, 33331]","[17.7783, 17.1027, 12.5471, 8.5528, 7.5698]","[38459, 2099, 4594, 41801, 33331]","[17.1764, 16.1809, 11.0855, 7.4249, 7.2729]",5,5,[],[],5.0044,1.4616,0.002103,4594,12.5471,11.0855,1.4616,41801,8.5528,7.4249,1.1279,2099,17.1027,16.1809,0.9218,45783,0.9777,1.7643,0.7866,37627,0.1868,0.836,0.6492
3,img_000003_label8,img_000003_label8,True,2099,20.7356,2099,22.4826,"[2099, 38459, 4594, 41801, 33331]","[20.7356, 20.3956, 15.5938, 12.8673, 8.538]","[2099, 38459, 4594, 41801, 33331]","[22.4826, 21.8777, 17.0944, 14.839, 8.9979]",5,5,[],[],True,38515,1.0265,38515,1.7395,"[38515, 25790, 26727, 29095, 34321]","[1.0265, 0.679, 0.6301, 0.548, 0.5458]","[38515, 25790, 34321, 34605, 15554]","[1.7395, 1.24, 0.9396, 0.7215, 0.7084]",3,3,"[26727, 29095]","[15554, 34605]",3.8921,0.713,0.001305,38515,1.0265,1.7395,0.713,2965,0.0,0.646,0.646,15554,0.0649,0.7084,0.6435,26727,0.6301,0.0,0.6301,25790,0.679,1.24,0.561
4,img_000004_label4,img_000004_label4,True,38459,20.2266,38459,20.4361,"[38459, 2099, 4594, 41801, 33331]","[20.2266, 20.1208, 14.772, 11.7014, 8.5946]","[38459, 2099, 4594, 41801, 33331]","[20.4361, 20.346, 14.8286, 12.0844, 8.801]",5,5,[],[],False,39729,1.0159,38515,1.2764,"[39729, 38515, 25790, 38085, 15780]","[1.0159, 0.8396, 0.7026, 0.6175, 0.5715]","[38515, 16136, 11366, 25790, 34321]","[1.2764, 1.0291, 0.9776, 0.888, 0.6985]",2,2,"[15780, 38085, 39729]","[11366, 16136, 34321]",3.0913,1.0291,0.00069,16136,0.0,1.0291,1.0291,39729,1.0159,0.0,1.0159,11366,0.0,0.9776,0.9776,8174,0.0,0.6365,0.6365,38085,0.6175,0.0,0.6175
5,img_000005_label4,img_000005_label4,True,38459,18.4155,38459,19.7803,"[38459, 2099, 4594, 41801, 33331]","[18.4155, 17.9183, 13.3912, 9.4283, 8.0185]","[38459, 2099, 4594, 41801, 33331]","[19.7803, 19.4328, 14.2279, 10.547, 8.569]",5,5,[],[],False,26886,1.8848,38515,1.4556,"[26886, 38515, 34321, 47070, 25790]","[1.8848, 0.9269, 0.729, 0.5921, 0.5053]","[38515, 34321, 25790, 40545, 19999]","[1.4556, 1.0845, 0.7915, 0.7, 0.6546]",3,3,"[26886, 47070]","[19999, 40545]",3.8153,1.8848,0.001076,26886,1.8848,0.0,1.8848,4869,0.0,0.6478,0.6478,10629,0.0,0.6108,0.6108,31918,0.0,0.5816,0.5816,38515,0.9269,1.4556,0.5288
6,img_000006_label8,img_000006_label8,False,38459,19.7384,2099,21.5703,"[38459, 2099, 4594, 41801, 33331]","[19.7384, 19.64, 14.6738, 11.6696, 8.3387]","[2099, 38459, 4594, 41801, 33331]","[21.5703, 21.3632, 16.4636, 13.4765, 9.0367]",5,5,[],[],True,38515,0.9841,38515,1.6903,"[38515, 25790, 9439, 34321, 14493]","[0.9841, 0.7945, 0.6552, 0.6053, 0.5355]","[38515, 13987, 25790, 34605, 34321]","[1.6903, 0.9594, 0.943, 0.7579, 0.7153]",3,3,"[9439, 14493]","[13987, 34605]",3.8152,0.9594,0.001234,13987,0.0,0.9594,0.9594,34491,0.0,0.7062,0.7062,38515,0.9841,1.6903,0.7062,9439,0.6552,0.0,0.6552,36037,0.1255,0.6843,0.5588
7,img_000007_label0,img_000007_label0,True,38459,18.1534,38459,18.9658,"[38459, 2099, 4594, 41801, 133]","[18.1534, 17.565, 13.5263, 9.1903, 7.8525]","[38459, 2099, 4594, 41801, 33331]","[18.9658, 18.5164, 14.2697, 9.9179, 7.9932]",4,4,[133],[33331],False,39589,6.3052,8403,4.7667,"[39589, 8403, 15485, 133, 3874]","[6.3052, 5.4085, 4.8036, 4.0481, 3.4016]","[8403, 39589, 15485, 16094, 133]","[4.7667, 4.57, 2.3483, 1.8959, 1.5647]",4,4,[3874],[16094],5.7678,2.7858,0.001681,3874,3.4016,0.6158,2.7858,133,4.0481,1.5647,2.4834,15485,4.8036,2.3483,2.4553,39589,6.3052,4.57,1.7351,16094,0.767,1.8959,1.129
8,img_000008_label6,img_000008_label6,True,38459,20.6107,38459,20.4109,"[38459, 2099, 4594, 41801, 33331]","[20.6107, 20.607, 15.1713, 12.2555, 8.7665]","[38459, 2099, 4594, 41801, 33331]","[20.4109, 20.2753, 15.0018, 11.9814, 8.6156]",5,5,[],[],True,38515,1.3701,38515,1.7997,"[38515, 34321, 25790, 34605, 29095]","[1.3701, 0.7542, 0.7512, 0.5986, 0.5732]","[38515, 34321, 42219, 25790, 5984]","[1.7997, 1.3926, 1.0509, 1.045, 1.02]",3,3,"[29095, 34605]","[5984, 42219]",4.4452,1.02,0.00153,5984,0.0,1.02,1.02,42219,0.1764,1.0509,0.8745,11714,0.0,0.8635,0.8635,34321,0.7542,1.3926,0.6384,34491,0.1791,0.817,0.6379
9,img_000009_label8,img_000009_label8,True,38459,19.7493,38459,20.6988,"[38459, 2099, 4594, 41801, 33331]","[19.7493, 19.7335, 14.8227, 11.4164, 8.5536]","[38459, 2099, 4594, 41801, 33331]","[20.6988, 20.5871, 15.4, 12.1779, 8.9733]",5,5,[],[],True,38515,0.9621,38515,1.7441,"[38515, 25790, 44568, 15358, 42219]","[0.9621, 0.9016, 0.6177, 0.5065, 0.4961]","[38515, 34321, 25790, 15554, 34605]","[1.7441, 1.1362, 0.9025, 0.8353, 0.8069]",2,2,"[15358, 42219, 44568]","[15554, 34321, 34605]",3.9479,0.8084,0.00127,15554,0.0269,0.8353,0.8084,38515,0.9621,1.7441,0.7819,34321,0.416,1.1362,0.7202,40429,0.0,0.6825,0.6825,24976,0.0,0.67,0.67
