image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
0,img_000000_label8,global,1,2099,23.733,2099,24.1628,True,1,1
0,img_000000_label8,global,2,38459,22.8189,38459,23.3543,True,2,2
0,img_000000_label8,global,3,4594,18.4058,4594,18.6742,True,3,3
0,img_000000_label8,global,4,41801,15.5168,41801,16.0587,True,4,4
0,img_000000_label8,global,5,33331,9.7921,33331,9.9095,True,5,5
0,img_000000_label8,patch88,1,38515,1.2806,38515,1.534,True,1,1
0,img_000000_label8,patch88,2,45888,1.0024,1527,1.2527,False,5,
0,img_000000_label8,patch88,3,14809,0.888,25790,0.9312,False,,
0,img_000000_label8,patch88,4,33093,0.8606,5336,0.8562,False,,5
0,img_000000_label8,patch88,5,5336,0.7574,45888,0.8348,False,4,2
1,img_000001_label4,global,1,38459,18.5269,38459,20.7401,True,1,1
1,img_000001_label4,global,2,2099,17.9223,2099,20.6046,True,2,2
1,img_000001_label4,global,3,4594,12.5112,4594,14.5844,True,3,3
1,img_000001_label4,global,4,41801,9.3579,41801,12.1841,True,4,4
1,img_000001_label4,global,5,33331,8.0837,33331,8.8821,True,5,5
1,img_000001_label4,patch88,1,38515,1.3622,38515,1.6308,True,1,1
1,img_000001_label4,patch88,2,17205,0.7151,25790,1.0963,False,,
1,img_000001_label4,patch88,3,19666,0.715,16136,0.9006,False,,
1,img_000001_label4,patch88,4,28815,0.6978,34321,0.857,False,,
1,img_000001_label4,patch88,5,29095,0.6699,29767,0.7116,False,,
2,img_000002_label4,global,1,2099,22.3091,2099,21.9068,True,1,1
2,img_000002_label4,global,2,38459,21.7536,38459,21.4663,True,2,2
2,img_000002_label4,global,3,4594,17.5933,4594,16.7766,True,3,3
2,img_000002_label4,global,4,41801,14.0754,41801,13.5386,True,4,4
2,img_000002_label4,global,5,33331,9.2227,33331,9.0658,True,5,5
2,img_000002_label4,patch88,1,38459,17.7783,38459,17.1764,True,1,1
2,img_000002_label4,patch88,2,2099,17.1027,2099,16.1809,True,2,2
2,img_000002_label4,patch88,3,4594,12.5471,4594,11.0855,True,3,3
2,img_000002_label4,patch88,4,41801,8.5528,41801,7.4249,True,4,4
2,img_000002_label4,patch88,5,33331,7.5698,33331,7.2729,True,5,5
3,img_000003_label8,global,1,2099,20.7356,2099,22.4826,True,1,1
3,img_000003_label8,global,2,38459,20.3956,38459,21.8777,True,2,2
3,img_000003_label8,global,3,4594,15.5938,4594,17.0944,True,3,3
3,img_000003_label8,global,4,41801,12.8673,41801,14.839,True,4,4
3,img_000003_label8,global,5,33331,8.538,33331,8.9979,True,5,5
3,img_000003_label8,patch88,1,38515,1.0265,38515,1.7395,True,1,1
3,img_000003_label8,patch88,2,25790,0.679,25790,1.24,True,2,2
3,img_000003_label8,patch88,3,26727,0.6301,34321,0.9396,False,,5
3,img_000003_label8,patch88,4,29095,0.548,34605,0.7215,False,,
3,img_000003_label8,patch88,5,34321,0.5458,15554,0.7084,False,3,
4,img_000004_label4,global,1,38459,20.2266,38459,20.4361,True,1,1
4,img_000004_label4,global,2,2099,20.1208,2099,20.346,True,2,2
4,img_000004_label4,global,3,4594,14.772,4594,14.8286,True,3,3
4,img_000004_label4,global,4,41801,11.7014,41801,12.0844,True,4,4
4,img_000004_label4,global,5,33331,8.5946,33331,8.801,True,5,5
4,img_000004_label4,patch88,1,39729,1.0159,38515,1.2764,False,,2
4,img_000004_label4,patch88,2,38515,0.8396,16136,1.0291,False,1,
4,img_000004_label4,patch88,3,25790,0.7026,11366,0.9776,False,4,
4,img_000004_label4,patch88,4,38085,0.6175,25790,0.888,False,,3
4,img_000004_label4,patch88,5,15780,0.5715,34321,0.6985,False,,
5,img_000005_label4,global,1,38459,18.4155,38459,19.7803,True,1,1
5,img_000005_label4,global,2,2099,17.9183,2099,19.4328,True,2,2
5,img_000005_label4,global,3,4594,13.3912,4594,14.2279,True,3,3
5,img_000005_label4,global,4,41801,9.4283,41801,10.547,True,4,4
5,img_000005_label4,global,5,33331,8.0185,33331,8.569,True,5,5
5,img_000005_label4,patch88,1,26886,1.8848,38515,1.4556,False,,2
5,img_000005_label4,patch88,2,38515,0.9269,34321,1.0845,False,1,3
5,img_000005_label4,patch88,3,34321,0.729,25790,0.7915,False,2,5
5,img_000005_label4,patch88,4,47070,0.5921,40545,0.7,False,,
5,img_000005_label4,patch88,5,25790,0.5053,19999,0.6546,False,3,
6,img_000006_label8,global,1,38459,19.7384,2099,21.5703,False,2,2
6,img_000006_label8,global,2,2099,19.64,38459,21.3632,False,1,1
6,img_000006_label8,global,3,4594,14.6738,4594,16.4636,True,3,3
6,img_000006_label8,global,4,41801,11.6696,41801,13.4765,True,4,4
6,img_000006_label8,global,5,33331,8.3387,33331,9.0367,True,5,5
6,img_000006_label8,patch88,1,38515,0.9841,38515,1.6903,True,1,1
6,img_000006_label8,patch88,2,25790,0.7945,13987,0.9594,False,3,
6,img_000006_label8,patch88,3,9439,0.6552,25790,0.943,False,,2
6,img_000006_label8,patch88,4,34321,0.6053,34605,0.7579,False,5,
6,img_000006_label8,patch88,5,14493,0.5355,34321,0.7153,False,,4
7,img_000007_label0,global,1,38459,18.1534,38459,18.9658,True,1,1
7,img_000007_label0,global,2,2099,17.565,2099,18.5164,True,2,2
7,img_000007_label0,global,3,4594,13.5263,4594,14.2697,True,3,3
7,img_000007_label0,global,4,41801,9.1903,41801,9.9179,True,4,4
7,img_000007_label0,global,5,133,7.8525,33331,7.9932,False,,
7,img_000007_label0,patch88,1,39589,6.3052,8403,4.7667,False,2,2
7,img_000007_label0,patch88,2,8403,5.4085,39589,4.57,False,1,1
7,img_000007_label0,patch88,3,15485,4.8036,15485,2.3483,True,3,3
7,img_000007_label0,patch88,4,133,4.0481,16094,1.8959,False,5,
7,img_000007_label0,patch88,5,3874,3.4016,133,1.5647,False,,4
8,img_000008_label6,global,1,38459,20.6107,38459,20.4109,True,1,1
8,img_000008_label6,global,2,2099,20.607,2099,20.2753,True,2,2
8,img_000008_label6,global,3,4594,15.1713,4594,15.0018,True,3,3
8,img_000008_label6,global,4,41801,12.2555,41801,11.9814,True,4,4
8,img_000008_label6,global,5,33331,8.7665,33331,8.6156,True,5,5
8,img_000008_label6,patch88,1,38515,1.3701,38515,1.7997,True,1,1
8,img_000008_label6,patch88,2,34321,0.7542,34321,1.3926,True,2,2
8,img_000008_label6,patch88,3,25790,0.7512,42219,1.0509,False,4,
8,img_000008_label6,patch88,4,34605,0.5986,25790,1.045,False,,3
8,img_000008_label6,patch88,5,29095,0.5732,5984,1.02,False,,
9,img_000009_label8,global,1,38459,19.7493,38459,20.6988,True,1,1
9,img_000009_label8,global,2,2099,19.7335,2099,20.5871,True,2,2
9,img_000009_label8,global,3,4594,14.8227,4594,15.4,True,3,3
9,img_000009_label8,global,4,41801,11.4164,41801,12.1779,True,4,4
9,img_000009_label8,global,5,33331,8.5536,33331,8.9733,True,5,5
9,img_000009_label8,patch88,1,38515,0.9621,38515,1.7441,True,1,1
9,img_000009_label8,patch88,2,25790,0.9016,34321,1.1362,False,3,
9,img_000009_label8,patch88,3,44568,0.6177,25790,0.9025,False,,2
9,img_000009_label8,patch88,4,15358,0.5065,15554,0.8353,False,,
9,img_000009_label8,patch88,5,42219,0.4961,34605,0.8069,False,,
10,img_000010_label8,global,1,2099,24.4043,2099,24.2047,True,1,1
10,img_000010_label8,global,2,38459,23.2749,38459,23.4287,True,2,2
10,img_000010_label8,global,3,4594,18.9396,4594,18.6453,True,3,3
10,img_000010_label8,global,4,41801,16.4805,41801,16.2943,True,4,4
10,img_000010_label8,global,5,33331,9.8588,33331,9.9644,True,5,5
10,img_000010_label8,patch88,1,38515,0.8427,38515,1.2965,True,1,1
10,img_000010_label8,patch88,2,25790,0.7572,11714,0.7767,False,,
10,img_000010_label8,patch88,3,35062,0.6951,18092,0.7229,False,,
10,img_000010_label8,patch88,4,14350,0.6925,25702,0.6828,False,,
10,img_000010_label8,patch88,5,3150,0.5503,5336,0.67,False,,
11,img_000011_label6,global,1,2099,23.2335,2099,24.1299,True,1,1
11,img_000011_label6,global,2,38459,22.3484,38459,23.3753,True,2,2
11,img_000011_label6,global,3,4594,18.0374,4594,18.6672,True,3,3
11,img_000011_label6,global,4,41801,15.134,41801,15.866,True,4,4
11,img_000011_label6,global,5,33331,9.2295,33331,9.9544,True,5,5
11,img_000011_label6,patch88,1,21338,1.9378,35254,4.1099,False,,
11,img_000011_label6,patch88,2,5969,1.398,35363,2.5257,False,,
11,img_000011_label6,patch88,3,38515,1.2093,35957,1.6624,False,4,
11,img_000011_label6,patch88,4,9470,0.8957,38515,1.3269,False,,3
11,img_000011_label6,patch88,5,36131,0.8682,25790,1.1301,False,,
12,img_000012_label8,global,1,38459,19.0276,2099,21.5411,False,2,2
12,img_000012_label8,global,2,2099,18.7749,38459,21.4632,False,1,1
12,img_000012_label8,global,3,4594,13.7818,4594,16.1624,True,3,3
12,img_000012_label8,global,4,41801,10.6862,41801,13.5789,True,4,4
12,img_000012_label8,global,5,33331,8.0143,33331,9.1891,True,5,5
12,img_000012_label8,patch88,1,25790,0.9787,38515,1.5488,False,2,2
