image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
0,Abyssinian_1.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_1.jpg,True,38459,16.855,38459,17.197,"[38459, 2099, 4594, 41801, 39589]","[16.855, 16.0708, 11.7282, 7.4202, 7.3487]","[38459, 2099, 4594, 41801, 39589]","[17.197, 16.4397, 11.9833, 7.7507, 7.307]",5,5,[],[],True,38515,1.5474,38515,1.5396,"[38515, 25939, 14350, 25790, 29095]","[1.5474, 1.4562, 1.0906, 1.0233, 0.9514]","[38515, 25939, 14350, 25790, 29095]","[1.5396, 1.4087, 1.0764, 1.0097, 0.9792]",5,5,[],[],0.4546,0.09,0.000127,31598,0.2114,0.1213,0.09,5519,0.0031,0.0905,0.0875,21533,0.2068,0.1214,0.0854,2021,0.5281,0.4465,0.0816,8871,0.2422,0.1613,0.081
1,Abyssinian_10.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_10.jpg,True,38459,21.2796,38459,20.9868,"[38459, 2099, 4594, 41801, 33331]","[21.2796, 21.1012, 15.3107, 12.9456, 8.8993]","[38459, 2099, 4594, 41801, 33331]","[20.9868, 20.6551, 14.7595, 12.3848, 8.7801]",5,5,[],[],True,38515,1.5368,38515,1.5394,"[38515, 41838, 25790, 34321, 12477]","[1.5368, 1.3263, 1.2063, 1.17, 0.9701]","[38515, 41838, 25790, 34321, 12477]","[1.5394, 1.1942, 1.1935, 1.1836, 0.9041]",5,5,[],[],0.4923,0.2299,0.000112,8266,0.5821,0.3522,0.2299,41838,1.3263,1.1942,0.1321,28815,0.0603,0.1716,0.1113,19905,0.14,0.0599,0.0801,510,0.1275,0.2001,0.0726
2,Abyssinian_100.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_100.jpg,True,38459,20.7791,38459,21.1071,"[38459, 2099, 4594, 41801, 33331]","[20.7791, 20.5001, 14.1941, 12.2035, 8.5602]","[38459, 2099, 4594, 41801, 33331]","[21.1071, 20.9482, 14.5678, 12.6288, 8.6926]",5,5,[],[],True,38515,1.7641,38515,1.7434,"[38515, 25790, 20516, 29095, 20496]","[1.7641, 1.1962, 1.1535, 0.9835, 0.9569]","[38515, 25790, 20516, 29095, 20496]","[1.7434, 1.1913, 1.1096, 0.9735, 0.959]",5,5,[],[],0.4496,0.168,0.00011,47013,0.0825,0.2505,0.168,26360,0.1679,0.0612,0.1066,3975,0.8087,0.8985,0.0898,23127,0.463,0.376,0.087,39150,0.0812,0.0151,0.0662
3,Abyssinian_101.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_101.jpg,True,2099,21.6269,2099,21.9424,"[2099, 38459, 4594, 41801, 33331]","[21.6269, 21.4254, 16.2852, 13.9904, 8.3167]","[2099, 38459, 4594, 41801, 33331]","[21.9424, 21.6624, 16.5392, 14.3079, 8.4291]",5,5,[],[],True,38515,1.8082,38515,1.8223,"[38515, 36165, 34321, 25790, 14809]","[1.8082, 1.7872, 1.2984, 1.1927, 1.1844]","[38515, 36165, 34321, 25790, 14809]","[1.8223, 1.6911, 1.2962, 1.1903, 1.1583]",5,5,[],[],0.7468,0.1548,0.000267,40547,0.8034,0.6486,0.1548,26758,0.3236,0.2025,0.1211,40269,0.1667,0.0459,0.1207,40016,0.3222,0.4314,0.1093,33495,0.161,0.0584,0.1025
4,Abyssinian_102.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_102.jpg,True,38459,20.1539,38459,20.3763,"[38459, 2099, 4594, 41801, 33331]","[20.1539, 19.6015, 13.6599, 10.959, 8.3087]","[38459, 2099, 4594, 41801, 33331]","[20.3763, 19.8598, 13.795, 11.1911, 8.4293]",5,5,[],[],True,20486,2.677,20486,2.6334,"[20486, 46076, 38515, 45770, 6690]","[2.677, 1.507, 1.4926, 1.2498, 0.9539]","[20486, 46076, 38515, 45770, 6690]","[2.6334, 1.5598, 1.4879, 1.1445, 0.9485]",5,5,[],[],0.6344,0.2066,0.000173,12307,0.4738,0.2671,0.2066,20316,0.3526,0.2058,0.1468,3889,0.3285,0.2088,0.1196,12796,0.1173,0.0,0.1173,45770,1.2498,1.1445,0.1054
5,Abyssinian_103.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_103.jpg,True,2099,22.2352,2099,22.2913,"[2099, 38459, 4594, 41801, 33331]","[22.2352, 22.1457, 16.1518, 13.7831, 9.3448]","[2099, 38459, 4594, 41801, 33331]","[22.2913, 22.2346, 16.1033, 13.7778, 9.4234]",5,5,[],[],True,38515,1.5248,38515,1.5398,"[38515, 25790, 48674, 22396, 34321]","[1.5248, 0.9637, 0.9612, 0.9337, 0.8981]","[38515, 48674, 25790, 34321, 22396]","[1.5398, 0.9939, 0.9641, 0.9169, 0.7925]",5,5,[],[],0.3454,0.1412,8.8e-05,22396,0.9337,0.7925,0.1412,35778,0.3857,0.4493,0.0636,47327,0.7062,0.6498,0.0564,34821,0.1042,0.0524,0.0518,31141,0.4938,0.5438,0.0499
6,Abyssinian_104.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_104.jpg,True,38459,20.5338,38459,20.2922,"[38459, 2099, 4594, 41801, 33331]","[20.5338, 19.9403, 14.4015, 11.1688, 8.8426]","[38459, 2099, 4594, 41801, 33331]","[20.2922, 19.7244, 14.0806, 11.2873, 8.7769]",5,5,[],[],True,38515,1.4511,38515,1.4225,"[38515, 25790, 49044, 20824, 48560]","[1.4511, 1.1474, 0.7867, 0.7704, 0.7683]","[38515, 25790, 34321, 49044, 20824]","[1.4225, 1.1344, 0.7954, 0.7847, 0.7407]",4,4,[48560],[34321],0.6171,0.384,0.000128,48318,0.3137,0.6976,0.384,7030,0.2175,0.417,0.1995,22396,0.5103,0.3905,0.1197,48560,0.7683,0.6979,0.0704,15098,0.382,0.4474,0.0654
7,Abyssinian_105.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_105.jpg,True,38459,21.4643,38459,21.8036,"[38459, 2099, 4594, 41801, 33331]","[21.4643, 21.1437, 14.9541, 12.886, 9.0836]","[38459, 2099, 4594, 41801, 33331]","[21.8036, 21.6079, 15.1965, 13.3226, 9.2501]",5,5,[],[],True,38515,1.3817,38515,1.3351,"[38515, 22355, 3642, 34966, 5852]","[1.3817, 0.8434, 0.8116, 0.7349, 0.7027]","[38515, 5852, 22355, 29095, 34966]","[1.3351, 0.8369, 0.7714, 0.7629, 0.7188]",4,4,[3642],[29095],0.662,0.218,0.000149,10278,0.4257,0.2077,0.218,30855,0.2931,0.1268,0.1663,3642,0.8116,0.6683,0.1433,13027,0.6534,0.518,0.1354,5852,0.7027,0.8369,0.1341
8,Abyssinian_106.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_106.jpg,True,2099,22.5263,2099,22.6343,"[2099, 38459, 4594, 41801, 33331]","[22.5263, 22.065, 16.644, 14.5188, 8.8377]","[2099, 38459, 4594, 41801, 33331]","[22.6343, 22.1922, 16.6358, 14.5323, 8.9579]",5,5,[],[],True,38515,1.8414,38515,1.8329,"[38515, 25939, 22396, 23000, 29095]","[1.8414, 1.3762, 1.0511, 0.9289, 0.8717]","[38515, 25939, 22396, 23000, 29095]","[1.8329, 1.3301, 1.0188, 0.9343, 0.8762]",5,5,[],[],0.4548,0.1778,0.000118,44140,0.5632,0.3854,0.1778,26118,0.3561,0.4786,0.1226,22733,0.1986,0.2803,0.0816,18584,0.4515,0.5277,0.0762,35033,0.7693,0.8416,0.0723
9,Abyssinian_107.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_107.jpg,True,2099,22.3053,2099,22.4783,"[2099, 38459, 4594, 41801, 33331]","[22.3053, 22.1982, 16.5168, 14.148, 9.1779]","[2099, 38459, 4594, 41801, 33331]","[22.4783, 22.3624, 16.537, 14.2661, 9.2678]",5,5,[],[],True,38515,1.6248,38515,1.6311,"[38515, 41838, 25790, 34321, 17271]","[1.6248, 1.2241, 1.1681, 0.9617, 0.8133]","[38515, 25790, 41838, 34321, 17271]","[1.6311, 1.1671, 1.1474, 1.0125, 0.8342]",5,5,[],[],0.3278,0.0925,8.1e-05,11515,0.1804,0.2729,0.0925,41838,1.2241,1.1474,0.0767,18092,0.0742,0.0136,0.0606,11799,0.0107,0.0679,0.0573,47435,0.0799,0.0234,0.0565
10,Abyssinian_108.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_108.jpg,True,38459,20.1338,38459,20.4983,"[38459, 2099, 4594, 41801, 33331]","[20.1338, 19.8738, 14.1994, 11.4763, 8.2071]","[38459, 2099, 4594, 41801, 33331]","[20.4983, 20.259, 14.3634, 11.8003, 8.4094]",5,5,[],[],True,38515,1.727,38515,1.7553,"[38515, 34321, 25702, 3478, 29095]","[1.727, 0.8788, 0.8523, 0.7603, 0.702]","[38515, 34321, 25702, 3478, 29095]","[1.7553, 0.9346, 0.8221, 0.7541, 0.7213]",5,5,[],[],0.4261,0.1842,0.000102,41838,0.6854,0.5012,0.1842,33023,0.6017,0.4901,0.1115,14659,0.2605,0.1745,0.086,8266,0.5196,0.442,0.0776,6690,0.1337,0.0572,0.0765
11,Abyssinian_109.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_109.jpg,True,2099,21.1709,2099,22.2009,"[2099, 38459, 4594, 41801, 33331]","[21.1709, 21.0606, 15.0542, 13.0067, 8.4577]","[2099, 38459, 4594, 41801, 33331]","[22.2009, 21.8938, 15.7719, 13.9797, 8.8934]",5,5,[],[],True,14725,1.8191,14725,1.734,"[14725, 44703, 46206, 38515, 21866]","[1.8191, 1.8024, 1.1355, 1.0483, 1.0434]","[14725, 44703, 46206, 38515, 22691]","[1.734, 1.7331, 1.2462, 1.0257, 1.0147]",4,4,[21866],[22691],0.7389,0.2039,0.000153,15196,0.539,0.335,0.2039,22691,0.8175,1.0147,0.1972,17466,0.276,0.4391,0.1631,34765,0.2137,0.3708,0.157,40713,0.2037,0.3582,0.1545
12,Abyssinian_11.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_11.jpg,True,2099,22.0918,2099,22.2181,"[2099, 38459, 4594, 41801, 33331]","[22.0918, 21.5918, 17.1466, 14.0046, 8.411]","[2099, 38459, 4594, 41801, 33331]","[22.2181, 21.7748, 17.0465, 13.971, 8.5836]",5,5,[],[],True,38515,1.7093,38515,1.7105,"[38515, 19905, 34321, 3478, 29767]","[1.7093, 1.0187, 0.9843, 0.9299, 0.8918]","[38515, 19905, 34321, 3478, 25790]","[1.7105, 1.0794, 1.0018, 0.9309, 0.8992]",4,4,[29767],[25790],0.8821,0.3327,0.00024,26886,0.4847,0.152,0.3327,13454,0.4253,0.2389,0.1864,14613,0.6996,0.5238,0.1759,39004,0.1662,0.0,0.1662,48820,0.7731,0.6311,0.142
