image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
0,Abyssinian_1.jpg,global,1,38459,16.855,38459,17.197,True,1,1
0,Abyssinian_1.jpg,global,2,2099,16.0708,2099,16.4397,True,2,2
0,Abyssinian_1.jpg,global,3,4594,11.7282,4594,11.9833,True,3,3
0,Abyssinian_1.jpg,global,4,41801,7.4202,41801,7.7507,True,4,4
0,Abyssinian_1.jpg,global,5,39589,7.3487,39589,7.307,True,5,5
0,Abyssinian_1.jpg,patch88,1,38515,1.5474,38515,1.5396,True,1,1
0,Abyssinian_1.jpg,patch88,2,25939,1.4562,25939,1.4087,True,2,2
0,Abyssinian_1.jpg,patch88,3,14350,1.0906,14350,1.0764,True,3,3
0,Abyssinian_1.jpg,patch88,4,25790,1.0233,25790,1.0097,True,4,4
0,Abyssinian_1.jpg,patch88,5,29095,0.9514,29095,0.9792,True,5,5
1,Abyssinian_10.jpg,global,1,38459,21.2796,38459,20.9868,True,1,1
1,Abyssinian_10.jpg,global,2,2099,21.1012,2099,20.6551,True,2,2
1,Abyssinian_10.jpg,global,3,4594,15.3107,4594,14.7595,True,3,3
1,Abyssinian_10.jpg,global,4,41801,12.9456,41801,12.3848,True,4,4
1,Abyssinian_10.jpg,global,5,33331,8.8993,33331,8.7801,True,5,5
1,Abyssinian_10.jpg,patch88,1,38515,1.5368,38515,1.5394,True,1,1
1,Abyssinian_10.jpg,patch88,2,41838,1.3263,41838,1.1942,True,2,2
1,Abyssinian_10.jpg,patch88,3,25790,1.2063,25790,1.1935,True,3,3
1,Abyssinian_10.jpg,patch88,4,34321,1.17,34321,1.1836,True,4,4
1,Abyssinian_10.jpg,patch88,5,12477,0.9701,12477,0.9041,True,5,5
2,Abyssinian_100.jpg,global,1,38459,20.7791,38459,21.1071,True,1,1
2,Abyssinian_100.jpg,global,2,2099,20.5001,2099,20.9482,True,2,2
2,Abyssinian_100.jpg,global,3,4594,14.1941,4594,14.5678,True,3,3
2,Abyssinian_100.jpg,global,4,41801,12.2035,41801,12.6288,True,4,4
2,Abyssinian_100.jpg,global,5,33331,8.5602,33331,8.6926,True,5,5
2,Abyssinian_100.jpg,patch88,1,38515,1.7641,38515,1.7434,True,1,1
2,Abyssinian_100.jpg,patch88,2,25790,1.1962,25790,1.1913,True,2,2
2,Abyssinian_100.jpg,patch88,3,20516,1.1535,20516,1.1096,True,3,3
2,Abyssinian_100.jpg,patch88,4,29095,0.9835,29095,0.9735,True,4,4
2,Abyssinian_100.jpg,patch88,5,20496,0.9569,20496,0.959,True,5,5
3,Abyssinian_101.jpg,global,1,2099,21.6269,2099,21.9424,True,1,1
3,Abyssinian_101.jpg,global,2,38459,21.4254,38459,21.6624,True,2,2
3,Abyssinian_101.jpg,global,3,4594,16.2852,4594,16.5392,True,3,3
3,Abyssinian_101.jpg,global,4,41801,13.9904,41801,14.3079,True,4,4
3,Abyssinian_101.jpg,global,5,33331,8.3167,33331,8.4291,True,5,5
3,Abyssinian_101.jpg,patch88,1,38515,1.8082,38515,1.8223,True,1,1
3,Abyssinian_101.jpg,patch88,2,36165,1.7872,36165,1.6911,True,2,2
3,Abyssinian_101.jpg,patch88,3,34321,1.2984,34321,1.2962,True,3,3
3,Abyssinian_101.jpg,patch88,4,25790,1.1927,25790,1.1903,True,4,4
3,Abyssinian_101.jpg,patch88,5,14809,1.1844,14809,1.1583,True,5,5
4,Abyssinian_102.jpg,global,1,38459,20.1539,38459,20.3763,True,1,1
4,Abyssinian_102.jpg,global,2,2099,19.6015,2099,19.8598,True,2,2
4,Abyssinian_102.jpg,global,3,4594,13.6599,4594,13.795,True,3,3
4,Abyssinian_102.jpg,global,4,41801,10.959,41801,11.1911,True,4,4
