image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
0,v_ApplyEyeMakeup_g01_c01.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c01.jpg,True,38459,19.937,38459,19.8963,"[38459, 2099, 4594, 41801, 33331]","[19.937, 19.3322, 13.4399, 11.2304, 8.1491]","[38459, 2099, 4594, 41801, 33331]","[19.8963, 19.1869, 13.0827, 10.8948, 8.1658]",5,5,[],[],True,38515,1.5881,38515,1.6027,"[38515, 25790, 19744, 34321, 20120]","[1.5881, 1.0575, 0.9668, 0.9475, 0.8724]","[38515, 25790, 19744, 34321, 29095]","[1.6027, 1.0761, 1.0121, 0.9609, 0.9258]",4,4,[20120],[29095],0.9401,0.2586,0.000255,34414,0.0357,0.2943,0.2586,14493,0.2012,0.3735,0.1723,20997,0.4153,0.5844,0.1691,6076,0.1074,0.2695,0.1621,16121,0.1515,0.311,0.1596
1,v_ApplyEyeMakeup_g01_c02.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c02.jpg,True,2099,22.5465,2099,22.7681,"[2099, 38459, 4594, 41801, 33331]","[22.5465, 22.0573, 17.0667, 14.8668, 8.9336]","[2099, 38459, 4594, 41801, 33331]","[22.7681, 22.2458, 17.1305, 15.0525, 9.0199]",5,5,[],[],True,38515,1.6355,38515,1.6619,"[38515, 20120, 34321, 25790, 29095]","[1.6355, 1.0708, 1.0437, 1.0412, 0.9266]","[38515, 46187, 20120, 34321, 25790]","[1.6619, 1.0922, 1.0787, 1.0783, 1.0405]",4,4,[29095],[46187],1.0704,0.3175,0.000291,17470,0.5242,0.8417,0.3175,6718,0.2507,0.5195,0.2688,34874,0.2676,0.5035,0.2359,46187,0.8785,1.0922,0.2137,3205,0.2478,0.4378,0.19
2,v_ApplyEyeMakeup_g01_c03.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c03.jpg,False,38459,21.5452,2099,22.0736,"[38459, 2099, 4594, 41801, 33331]","[21.5452, 21.5351, 15.3492, 13.5138, 8.7733]","[2099, 38459, 4594, 41801, 33331]","[22.0736, 22.011, 15.6754, 14.0244, 8.9562]",5,5,[],[],False,26886,1.3515,38515,1.2721,"[26886, 38515, 29095, 25790, 40305]","[1.3515, 1.2424, 0.8906, 0.8745, 0.767]","[38515, 29095, 25790, 26886, 20336]","[1.2721, 0.9147, 0.8275, 0.8079, 0.7577]",4,4,[40305],[20336],1.1432,0.5436,0.000235,26886,1.3515,0.8079,0.5436,38149,0.4454,0.0886,0.3568,22758,0.3469,0.0721,0.2749,25855,0.3902,0.1324,0.2579,5496,0.2495,0.0017,0.2478
3,v_ApplyEyeMakeup_g01_c04.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c04.jpg,True,2099,22.3315,2099,22.6237,"[2099, 38459, 4594, 41801, 33331]","[22.3315, 22.0113, 16.6984, 14.5542, 8.8586]","[2099, 38459, 4594, 41801, 33331]","[22.6237, 22.2675, 16.7372, 14.7586, 8.97]",5,5,[],[],True,38515,1.7118,38515,1.7387,"[38515, 15418, 34321, 42219, 8377]","[1.7118, 1.0564, 1.0131, 0.9661, 0.8246]","[38515, 42219, 34321, 34605, 8377]","[1.7387, 1.014, 1.0133, 0.8237, 0.8214]",4,4,[15418],[34605],0.9611,0.4052,0.000264,15418,1.0564,0.6512,0.4052,34946,0.0554,0.2398,0.1844,25414,0.2846,0.1057,0.1789,34398,0.0,0.1686,0.1686,40379,0.1443,0.2804,0.1361
4,v_ApplyEyeMakeup_g01_c05.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c05.jpg,True,38459,20.2231,38459,20.2401,"[38459, 2099, 4594, 41801, 33331]","[20.2231, 19.902, 14.1019, 11.7136, 8.1878]","[38459, 2099, 4594, 41801, 33331]","[20.2401, 19.8541, 13.8783, 11.5919, 8.1954]",5,5,[],[],True,38515,1.8422,38515,1.8165,"[38515, 23609, 29095, 25790, 17271]","[1.8422, 1.4592, 0.8892, 0.8417, 0.8042]","[38515, 23609, 7448, 15304, 29095]","[1.8165, 1.398, 1.0423, 1.0292, 0.9997]",3,3,"[17271, 25790]","[7448, 15304]",1.875,0.6147,0.000526,7448,0.4277,1.0423,0.6147,15304,0.5977,1.0292,0.4314,7014,0.423,0.0,0.423,7927,0.4207,0.0,0.4207,26886,0.4432,0.8449,0.4017
5,v_ApplyEyeMakeup_g01_c06.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c06.jpg,True,2099,23.1281,2099,23.1304,"[2099, 38459, 4594, 41801, 33331]","[23.1281, 22.413, 17.437, 15.5074, 9.0781]","[2099, 38459, 4594, 41801, 33331]","[23.1304, 22.5071, 17.1502, 15.3855, 9.1566]",5,5,[],[],True,38515,1.1905,38515,1.245,"[38515, 29095, 40305, 31131, 23730]","[1.1905, 0.7197, 0.6441, 0.6412, 0.6007]","[38515, 12139, 31131, 29095, 40305]","[1.245, 0.9961, 0.8773, 0.7519, 0.7204]",4,4,[23730],[12139],1.0332,0.5104,0.000199,12139,0.4857,0.9961,0.5104,22758,0.4102,0.6572,0.247,31131,0.6412,0.8773,0.2361,18037,0.0,0.2115,0.2115,19005,0.2091,0.0202,0.1889
6,v_ApplyEyeMakeup_g02_c01.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c01.jpg,True,2099,20.7561,2099,20.881,"[2099, 38459, 4594, 41801, 33331]","[20.7561, 20.6762, 15.7292, 12.9392, 8.0242]","[2099, 38459, 4594, 41801, 33331]","[20.881, 20.8218, 15.7051, 13.0136, 8.1316]",5,5,[],[],True,17180,2.8935,17180,2.6723,"[17180, 26783, 17843, 38515, 15627]","[2.8935, 1.5476, 1.4955, 1.4616, 1.3067]","[17180, 17843, 39753, 38515, 34321]","[2.6723, 1.6526, 1.4333, 1.4089, 1.2751]",3,3,"[15627, 26783]","[34321, 39753]",1.4075,0.4948,0.000385,26783,1.5476,1.0528,0.4948,39753,1.0504,1.4333,0.3829,45367,0.0104,0.2756,0.2652,19465,1.0749,0.8153,0.2596,17180,2.8935,2.6723,0.2213
7,v_ApplyEyeMakeup_g02_c02.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c02.jpg,True,2099,20.8672,2099,20.8516,"[2099, 38459, 4594, 41801, 33331]","[20.8672, 20.7157, 15.8666, 12.9792, 8.2567]","[2099, 38459, 4594, 41801, 33331]","[20.8516, 20.7734, 15.6949, 12.8665, 8.333]",5,5,[],[],False,38515,1.8367,16104,1.8505,"[38515, 39753, 16104, 39517, 46026]","[1.8367, 1.5448, 1.4509, 1.3187, 1.0936]","[16104, 38515, 39753, 39517, 46026]","[1.8505, 1.8091, 1.614, 1.4257, 1.0316]",5,5,[],[],0.9023,0.3997,0.000257,16104,1.4509,1.8505,0.3997,31087,0.0,0.1544,0.1544,11560,0.5833,0.7313,0.1479,24930,0.7211,0.8642,0.1431,5852,0.7063,0.8438,0.1375
8,v_ApplyEyeMakeup_g02_c03.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c03.jpg,True,2099,21.8357,2099,21.8073,"[2099, 38459, 4594, 41801, 33331]","[21.8357, 21.5938, 16.5876, 13.8873, 8.7031]","[2099, 38459, 4594, 41801, 33331]","[21.8073, 21.6088, 16.4267, 13.7872, 8.7471]",5,5,[],[],True,14584,2.2599,14584,2.6244,"[14584, 38515, 35883, 34321, 25790]","[2.2599, 2.0566, 1.3246, 1.131, 1.1269]","[14584, 38515, 25790, 34321, 7738]","[2.6244, 2.0268, 1.1851, 1.1381, 1.1101]",4,4,[35883],[7738],1.447,0.3645,0.000595,14584,2.2599,2.6244,0.3645,35883,1.3246,1.0166,0.308,1051,0.2102,0.0097,0.2004,5852,0.4302,0.2585,0.1717,29811,0.4558,0.2993,0.1565
9,v_ApplyEyeMakeup_g02_c04.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c04.jpg,True,38459,19.7747,38459,20.0037,"[38459, 2099, 4594, 41801, 33331]","[19.7747, 19.2388, 13.7109, 10.9766, 8.0449]","[38459, 2099, 4594, 41801, 33331]","[20.0037, 19.5426, 13.9198, 11.2376, 8.1274]",5,5,[],[],True,38515,1.6003,38515,1.6916,"[38515, 36126, 5288, 37416, 25790]","[1.6003, 1.2773, 1.2488, 1.2365, 1.1057]","[38515, 5288, 37416, 36126, 25790]","[1.6916, 1.3464, 1.1931, 1.1824, 1.1509]",5,5,[],[],0.6759,0.2251,0.000209,48679,0.0381,0.2632,0.2251,40593,0.3722,0.2508,0.1214,5288,1.2488,1.3464,0.0976,36126,1.2773,1.1824,0.0949,6345,0.0612,0.1534,0.0922
