image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
0,v_ApplyEyeMakeup_g01_c01.jpg,global,1,38459,19.937,38459,19.8963,True,1,1
0,v_ApplyEyeMakeup_g01_c01.jpg,global,2,2099,19.3322,2099,19.1869,True,2,2
0,v_ApplyEyeMakeup_g01_c01.jpg,global,3,4594,13.4399,4594,13.0827,True,3,3
0,v_ApplyEyeMakeup_g01_c01.jpg,global,4,41801,11.2304,41801,10.8948,True,4,4
0,v_ApplyEyeMakeup_g01_c01.jpg,global,5,33331,8.1491,33331,8.1658,True,5,5
0,v_ApplyEyeMakeup_g01_c01.jpg,patch88,1,38515,1.5881,38515,1.6027,True,1,1
0,v_ApplyEyeMakeup_g01_c01.jpg,patch88,2,25790,1.0575,25790,1.0761,True,2,2
0,v_ApplyEyeMakeup_g01_c01.jpg,patch88,3,19744,0.9668,19744,1.0121,True,3,3
0,v_ApplyEyeMakeup_g01_c01.jpg,patch88,4,34321,0.9475,34321,0.9609,True,4,4
0,v_ApplyEyeMakeup_g01_c01.jpg,patch88,5,20120,0.8724,29095,0.9258,False,,
1,v_ApplyEyeMakeup_g01_c02.jpg,global,1,2099,22.5465,2099,22.7681,True,1,1
1,v_ApplyEyeMakeup_g01_c02.jpg,global,2,38459,22.0573,38459,22.2458,True,2,2
1,v_ApplyEyeMakeup_g01_c02.jpg,global,3,4594,17.0667,4594,17.1305,True,3,3
1,v_ApplyEyeMakeup_g01_c02.jpg,global,4,41801,14.8668,41801,15.0525,True,4,4
1,v_ApplyEyeMakeup_g01_c02.jpg,global,5,33331,8.9336,33331,9.0199,True,5,5
1,v_ApplyEyeMakeup_g01_c02.jpg,patch88,1,38515,1.6355,38515,1.6619,True,1,1
1,v_ApplyEyeMakeup_g01_c02.jpg,patch88,2,20120,1.0708,46187,1.0922,False,3,
1,v_ApplyEyeMakeup_g01_c02.jpg,patch88,3,34321,1.0437,20120,1.0787,False,4,2
1,v_ApplyEyeMakeup_g01_c02.jpg,patch88,4,25790,1.0412,34321,1.0783,False,5,3
1,v_ApplyEyeMakeup_g01_c02.jpg,patch88,5,29095,0.9266,25790,1.0405,False,,4
2,v_ApplyEyeMakeup_g01_c03.jpg,global,1,38459,21.5452,2099,22.0736,False,2,2
2,v_ApplyEyeMakeup_g01_c03.jpg,global,2,2099,21.5351,38459,22.011,False,1,1
2,v_ApplyEyeMakeup_g01_c03.jpg,global,3,4594,15.3492,4594,15.6754,True,3,3
2,v_ApplyEyeMakeup_g01_c03.jpg,global,4,41801,13.5138,41801,14.0244,True,4,4
2,v_ApplyEyeMakeup_g01_c03.jpg,global,5,33331,8.7733,33331,8.9562,True,5,5
2,v_ApplyEyeMakeup_g01_c03.jpg,patch88,1,26886,1.3515,38515,1.2721,False,4,2
2,v_ApplyEyeMakeup_g01_c03.jpg,patch88,2,38515,1.2424,29095,0.9147,False,1,3
2,v_ApplyEyeMakeup_g01_c03.jpg,patch88,3,29095,0.8906,25790,0.8275,False,2,4
