model,method,dataset,shots,seed,backbone,encoder,position,r,alpha,baseline_type,zs_acc,lp_acc,ft_acc,adapter_delta
clip,lora,ucf101,16,1,ViT-B/16,both,all,4,1.0,zero_shot,65.2392,,86.0693,20.8300
clip,lora,stanford_cars,16,1,ViT-B/16,both,all,4,1.0,zero_shot,63.7483,,81.5570,17.8087
clip,lora,food101,16,1,ViT-B/16,both,all,4,1.0,zero_shot,88.2416,,89.5762,1.3347
clip,lora,oxford_flowers,16,1,ViT-B/16,both,all,4,1.0,zero_shot,8.5294,,89.1176,80.5882
dino,lora,ucf101,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,80.8882,,83.6638,2.7756
dino,lora,stanford_cars,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,45.5789,,84.0691,38.4902
dino,lora,food101,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,79.7545,,83.3822,3.6277
dino,lora,oxford_flowers,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,99.5098,,99.5098,0.0000
dino,lora,eurosat,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,71.3704,,88.6420,17.2716
dino,lora,dtd,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,75.1852,,77.6543,2.4691
dino,lora,imagenet_v2,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,83.3300,,96.2400,12.9100
dino,lora,imagenet_sketch,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,65.6188,,73.7965,8.1777
dino,lora,imagenet_a,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,72.1850,,77.9134,5.7283
dino,lora,imagenet_r,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,70.0462,,75.7346,5.6885
dino,lora,caltech101,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,96.3895,,96.7546,0.3651
dino,lora,sun397,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,69.4546,,67.1226,-2.3320
dino,lora,medmnist,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,67.0170,,85.2142,18.1972
dino,dora,ucf101,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,80.8882,,84.1396,3.2514
dino,dora,stanford_cars,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,45.5789,,84.2433,38.6643
dino,dora,food101,16,1,facebook/dinov2-base,vision,all,4,1.0,prototype_kshot+linear_probe,79.7545,,83.3980,3.6436
